app,country,mode,device_code,rank_category,date,apps_ranking_history_ios,apps_ranking_history_android
1085652055,EE,topselling_free,ios-tablet,Photo & Video,2024-10-06,221,
670766542,EE,topselling_free,ios-tablet,Photo & Video,2024-10-06,220,
461322183,FI,topselling_free,ios-tablet,Reference,2024-10-06,220,
969525949,EE,topselling_free,ios-tablet,Photo & Video,2024-10-06,219,
499289888,FJ,topselling_free,ios-phone,Games / Family,2024-10-06,219,
499545918,FI,topselling_free,ios-tablet,Reference,2024-10-06,219,
730187118,GH,topselling_free,ios-tablet,Books,2024-10-06,219,
638394624,EC,topselling_free,ios-tablet,Music,2024-10-06,218,
890412250,FJ,topselling_free,ios-phone,Games / Family,2024-10-06,218,
1186994231,FJ,topselling_free,ios-phone,Games / Role Playing,2024-10-06,218,
