domain,company_name,date,company_headquarters_country,company_headquarters_city,company_headquarters_zip_code,company_employee_range,company_estimated_revenue_range,company_headquarters_state,hq_street_address
generationhealth.co.zw,Generation Health,2024-10-06,Zimbabwe,Harare,,10 - 50,2M - 5M,Harare,
koalaeducationservices.com,Koala Education Services,2024-10-06,Zimbabwe,harare,,0 - 10,2M - 5M,Harare,6 renfrew road
kamagazine.co.zw,KA Magazine,2024-10-06,Zimbabwe,,,10 - 50,0 - 1M,,
stipareth.consulting,Stipareth Consulting,2024-10-06,Zimbabwe,,,0 - 10,,,
propertysolutions.co.zw,Property Solutions,2024-10-06,Zimbabwe,Harare,,0 - 10,,,
shumba.africa,Shumba Africa,2024-10-06,Zimbabwe,,,0 - 10,,,
t3nresources.com,T3N Resources,2024-10-06,Zimbabwe,,,0 - 10,,,
nhau.co.zw,Nhau/Indaba Media,2024-10-06,Zimbabwe,,,10 - 50,,,"Bay 2, 32 Simon Mazorodze Rd, Harare"
socialhub.co.zw,SocialHub,2024-10-06,Zimbabwe,,,0 - 10,,,
kamili.co.zw,Kamili Investments,2024-10-06,Zimbabwe,Harare,,10 - 50,1M - 2M,,
