domain,country,age,gender,yearmonth,demographics_share,demographics_avg_visit_duration,demographics_bounce_rate,demographics_pages_per_visit
progio.ru,BD,65+,male,2024-09,0.7716419843488069,0.0,0.9268881504371024,1.090642138102153
proland63.ru,BD,65+,male,2024-09,0.7716419843488069,0.0,0.9443610090901609,1.0556389909098391
novostizn.ru,BD,65+,male,2024-09,0.7714089370022451,0.0,0.939459405373094,1.060540594626906
aboutsmarttv.ru,BD,65+,male,2024-09,0.7708580964946176,0.0,0.9598135040834016,1.0401864959165985
zdorof.ru,BD,65+,male,2024-09,0.7706531576977351,6.17240193598863,0.9398124231891724,1.0601875768108275
devays.ru,BD,65+,male,2024-09,0.7702846960157873,0.0,0.9796832706611068,1.0203167293388933
1st-digital.ru,BD,65+,male,2024-09,0.7698619583658802,0.0414222217172368,0.9194380085054517,1.0805619914945486
med-prosvet.com,BD,65+,male,2024-09,0.7688527949483792,0.0,0.9558712599319648,1.044128740068035
onetrystory.ru,BD,65+,male,2024-09,0.7688527949483792,0.0,0.9108123631588312,1.0891876368411688
mobreport.ru,BD,65+,male,2024-09,0.7686890935952658,0.0,0.9575307463319606,1.042469253668039
