keyword,country,yearmonth,desktop_keyword_difficulty,keyword_search_volume,all_keyword_cpc,zero_clicks_latest_serp_date,zero_clicks_share
australia,AU,2024-09,100,,,2024-09-22,0.7089905267238616
地图,JP,2024-09,100,22536.878662785108,0.49,2024-09-27,0.8503952722787858
",ai",NP,2024-09,100,,,2024-08-08,0.9812588459968568
privacy policy generator for website free,WW,2024-09,100,831.289300671167,,2024-09-25,0.4242610335350036
.ai,ET,2024-09,100,,,2024-08-25,0.8300910918951034
privacy poliecy generator,TR,2024-09,100,0.5422436809190556,,2024-08-27,0.6051800004720689
1208capital.com facebook account page,US,2024-09,100,,,2024-09-24,0.4423588514328003
qr code generatr,US,2024-09,100,106.76100741448468,2.55,2024-08-21,0.3458203145474195
2023 us form 1040 instructions,PR,2024-09,100,,,2024-08-16,0.414865539330244
raily recruitment,IN,2024-09,100,1305.4760427806816,,2024-09-18,0.6430791616439819
