domain,country,channel,yearmonth,desktop_marketing_channels_visits,desktop_marketing_channels_share,mobile_marketing_channels_visits,mobile_marketing_channels_share
google.com,WW,direct,2024-09,28395223950.60168,0.8786477097293328,36700004272.1419,0.7393703455026729
youtube.com,WW,direct,2024-09,17034608171.337025,0.7855432375774681,3889454198.2024136,0.6154909637153517
mail.google.com,WW,direct,2024-09,8340401107.911459,0.8873897580488805,420115242.025528,0.7309339446273151
google.com,US,direct,2024-09,6935583957.44796,0.8642177852562583,6234547641.311402,0.7699697100912464
facebook.com,WW,direct,2024-09,4513396601.826688,0.7805379065534855,4153901613.784248,0.6406464402173144
youtube.com,WW,organic_search,2024-09,3989346423.1221576,0.1839669027615504,1981210484.561515,0.3135188353752315
docs.google.com,WW,direct,2024-09,3494866132.466401,0.842390881982125,1299101311.8524413,0.6958310555731252
youtube.com,US,direct,2024-09,3386277510.3731084,0.7646826622329794,423444385.1288601,0.6347751471871389
web.whatsapp.com,WW,direct,2024-09,2906092454.300723,0.8208386508525792,60069399.56770244,0.6606665535759321
whatsapp.com,WW,direct,2024-09,2826874491.3973866,0.7775365328993742,520250257.0883976,0.6349743399148406
