domain,country,site2,yearmonth,desktop_referral_visits,desktop_referral_change,desktop_referral_share,mobile_referral_visits,mobile_referral_change,mobile_referral_share,desktop_outgoing_referral_visits,desktop_outgoing_referral_change,desktop_outgoing_referral_share
search.bilibili.com,WW,bilibili.com,2024-09,288244748.34894866,-0.0916871369884996,0.8966156998870738,797483.0785345846,-0.0316375846615623,0.9167571231655028,88468277.61836652,-0.0914794645106855,0.6587383175664859
search.bilibili.com,CN,bilibili.com,2024-09,267378186.78783065,-0.0951924655354031,0.8968751387969708,530078.7555101565,0.0117289956228131,0.9180117402074828,80294459.51050526,-0.096145503707266,0.656336207828451
mail.google.com,WW,google.com,2024-09,250704161.9514134,0.0944375871715619,0.4401044501837458,6774432.766605129,-0.0298200337152531,0.5173521862671943,71794058.72155245,0.0127830942980973,0.2486990072862165
search.naver.com,WW,naver.com,2024-09,223947448.64875484,-0.0674540272474624,0.9866177663040604,59830275.5379088,-0.0219634062495473,0.4494759314586825,158395.96936658825,-0.2049172804800375,0.3015300325137796
search.naver.com,KR,naver.com,2024-09,221630542.1927146,-0.067182180934495,0.986651519286968,57865173.30628457,-0.0198995101623246,0.4484646907248276,158279.61645119416,-0.2050910766617258,0.5520862211650169
news.yahoo.co.jp,WW,yahoo.co.jp,2024-09,179074929.45447913,-0.0805389607334386,0.9416085820864768,54569003.210071765,-0.1169413313096883,0.2194680568423714,14493788.35992234,0.0174818807586202,0.1554812712992005
news.yahoo.co.jp,JP,yahoo.co.jp,2024-09,177429646.4201921,-0.0806234918510983,0.9417743656396472,53332867.58470169,-0.1201441163393116,0.2162281464935614,14369484.17176967,0.0171692096503742,0.1556112164073875
space.bilibili.com,WW,bilibili.com,2024-09,169343510.74017844,-0.0982293846367591,0.7332953485962086,431303.0796902206,-0.0543408108962939,0.7245818208028404,35851544.12641166,-0.1009978381344584,0.5745808896193824
space.bilibili.com,CN,bilibili.com,2024-09,158024252.61096236,-0.1023795392647148,0.7349400653935644,174567.39223643302,-0.2219508817424814,0.6260948406958733,31950918.274229538,-0.1069242004170666,0.5665218835364577
search.yahoo.co.jp,WW,yahoo.co.jp,2024-09,156360733.22735602,-0.1047948009815346,0.916384199947349,81834398.75808771,-0.3046723951983209,0.2323397509518647,1434484.5560137562,0.0893152970716381,0.9500283219955952
