domain,category_id,asin,category_sales_performance_top_products_category_name,yearmonth,category_sales_performance_top_products_units_sold,category_sales_performance_top_products_revenue,category_sales_performance_top_products_product_views,category_sales_performance_top_products_average_unit_price,category_sales_performance_top_products_reviews,category_sales_performance_top_products_rating,category_sales_performance_top_products_asin_name,category_sales_performance_top_products_brand,category_sales_performance_top_products_variations,category_sales_performance_top_products_category_depth
amazon.com,15342981,B0D7QJB2DD,"Health & Household > Household Supplies > Paper & Plastic > Toilet Paper, Wipes & Sprays > Toilet Paper",2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,5
amazon.com,16284869011,B0D7QJB2DD,"Health & Household > Household Supplies > Paper & Plastic > Toilet Paper, Wipes & Sprays",2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,4
amazon.com,15342841,B0D7QJB2DD,Health & Household > Household Supplies > Paper & Plastic,2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,3
amazon.com,15342811,B0D7QJB2DD,Health & Household > Household Supplies,2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,2
amazon.com,3760901,B0D7QJB2DD,Health & Household,2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,1
amazon.com,-1,B0D7QJB2DD,All Categories,2024-09,667785,4655584,675289,6.97,63414,4.5,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",Scott,B097F8YVPM,0
amazon.com,16318341,B0D7CVBKMW,"Grocery & Gourmet Food > Beverages > Bottled Beverages, Water & Drink Mixes > Nutrition Drinks",2024-09,658202,14497158,1482445,22.03,13431,4.5,"CELSIUS Fizz Free Blue Razz Lemonade, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",CELSIUS,"B007R8XGJA,B00AATAHY0,B095Q98Z97,B019XDR3UY,B086ZL794C,B007R8XGKE,B09X22BTZT,B007R8XGKY,B07P7M5N5Q,B0BRQRYC3L,B07BY3HJPT,B019XDR4LM,B09V1T6ZSB,B0BNW8CT1K,B09MSJ34R2,B08PGXDHTC,B0BNW78Y32,B007R8XGJK,B0CGF5VP53,B0C7FBH4QV,B0CTPSJRH7,B0CRJ2HLMQ,B0CRHZP1TV,B0CTKTHZWS,B0CTKRJH94,B0D931DF95,B0D63MSCVQ,B0D642J3KX",4
amazon.com,14808787011,B0D7CVBKMW,"Grocery & Gourmet Food > Beverages > Bottled Beverages, Water & Drink Mixes",2024-09,658202,14497158,1482445,22.03,13431,4.5,"CELSIUS Fizz Free Blue Razz Lemonade, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",CELSIUS,"B007R8XGJA,B00AATAHY0,B095Q98Z97,B019XDR3UY,B086ZL794C,B007R8XGKE,B09X22BTZT,B007R8XGKY,B07P7M5N5Q,B0BRQRYC3L,B07BY3HJPT,B019XDR4LM,B09V1T6ZSB,B0BNW8CT1K,B09MSJ34R2,B08PGXDHTC,B0BNW78Y32,B007R8XGJK,B0CGF5VP53,B0C7FBH4QV,B0CTPSJRH7,B0CRJ2HLMQ,B0CRHZP1TV,B0CTKTHZWS,B0CTKRJH94,B0D931DF95,B0D63MSCVQ,B0D642J3KX",3
amazon.com,16310231,B0D7CVBKMW,Grocery & Gourmet Food > Beverages,2024-09,658202,14497158,1482445,22.03,13431,4.5,"CELSIUS Fizz Free Blue Razz Lemonade, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",CELSIUS,"B007R8XGJA,B00AATAHY0,B095Q98Z97,B019XDR3UY,B086ZL794C,B007R8XGKE,B09X22BTZT,B007R8XGKY,B07P7M5N5Q,B0BRQRYC3L,B07BY3HJPT,B019XDR4LM,B09V1T6ZSB,B0BNW8CT1K,B09MSJ34R2,B08PGXDHTC,B0BNW78Y32,B007R8XGJK,B0CGF5VP53,B0C7FBH4QV,B0CTPSJRH7,B0CRJ2HLMQ,B0CRHZP1TV,B0CTKTHZWS,B0CTKRJH94,B0D931DF95,B0D63MSCVQ,B0D642J3KX",2
amazon.com,16310101,B0D7CVBKMW,Grocery & Gourmet Food,2024-09,658202,14497158,1482445,22.03,13431,4.5,"CELSIUS Fizz Free Blue Razz Lemonade, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",CELSIUS,"B007R8XGJA,B00AATAHY0,B095Q98Z97,B019XDR3UY,B086ZL794C,B007R8XGKE,B09X22BTZT,B007R8XGKY,B07P7M5N5Q,B0BRQRYC3L,B07BY3HJPT,B019XDR4LM,B09V1T6ZSB,B0BNW8CT1K,B09MSJ34R2,B08PGXDHTC,B0BNW78Y32,B007R8XGJK,B0CGF5VP53,B0C7FBH4QV,B0CTPSJRH7,B0CRJ2HLMQ,B0CRHZP1TV,B0CTKTHZWS,B0CTKRJH94,B0D931DF95,B0D63MSCVQ,B0D642J3KX",1
