domain,country,keyword,date,desktop_keywords_total_visits,desktop_keywords_organic_visits,desktop_keywords_paid_visits,desktop_keywords_total_share,desktop_keywords_organic_share,desktop_keywords_paid_share,desktop_keywords_top_all_url_position,desktop_keywords_top_organic_url_position,desktop_keywords_top_paid_url_position,desktop_keywords_top_all_url,desktop_keywords_top_organic_url,desktop_keywords_top_paid_url
youtube.com,WW,youtube,2024-09-30,83265798.94078368,82857377.7882279,408421.1525557176,0.0905148338153867,0.0901713020235481,0.3985626992591792,1,1,1.0,https://www.youtube.com/,https://www.youtube.com/,https://www.youtube.com/watch?v=4yPeoOGrUJ0
whatsapp.com,WW,whatsapp web,2024-09-30,79011501.24876669,79011501.24876669,0.0,0.5322924496733191,0.5327225535736652,0.0,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
web.whatsapp.com,WW,whatsapp web,2024-09-30,54592908.65150974,54592908.65150974,0.0,0.5591232716931307,0.5593929029386697,0.0,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
google.com,WW,gmail,2024-09-30,43586529.24785983,43361293.99404976,225235.25381008125,0.1063844658726836,0.1118772636764747,0.0101785122861451,1,1,1.0,https://support.google.com/mail/answer/8494?hl=th&co=GENIE.Platform=Desktop,https://support.google.com/mail/answer/8494?hl=th&co=GENIE.Platform=Desktop,https://workspace.google.com/intl/pt-BR/lp/gmail/
netflix.com,WW,netflix,2024-09-30,33678952.264578834,33677449.51025106,1502.7543277770997,0.5141942660357863,0.5142166520861547,0.2602692741176134,1,1,,https://www.netflix.com/es/,https://www.netflix.com/es/,
facebook.com,WW,facebook,2024-09-30,31736659.34053848,31554453.533189997,182205.80734849404,0.1346096180048455,0.1344483648030473,0.1698987990203867,1,1,1.0,https://www.facebook.com/?locale=es_LA,https://www.facebook.com/?locale=es_LA,https://www.facebook.com/r.php
chatgpt.com,WW,chatgpt,2024-09-30,27992306.17631156,27988270.45170944,4035.724602118506,0.2755113435717253,0.275532377712739,0.1801401524614583,2,2,,https://chatgpt.com/,https://chatgpt.com/,
mail.google.com,WW,gmail,2024-09-30,26209069.86614885,26208643.068414945,426.7977339097765,0.4379732356309864,0.4382643206410762,0.0104814558969507,1,1,,https://mail.google.com/mail/u/0/,https://mail.google.com/mail/u/0/,
google.com,WW,google,2024-09-30,23716780.27162463,23710021.690147083,6758.581477548226,0.0578870822007575,0.0611746584123509,0.000305424232851858,1,1,,https://www.google.com/?hl=es,https://www.google.com/?hl=es,
chatgpt.com,WW,chat gpt,2024-09-30,21078048.371639445,21075872.39224816,2175.9793912869723,0.2074584848480462,0.2074828182979676,0.0971278513637081,2,2,,https://chatgpt.com/,https://chatgpt.com/,
