app,country,domain,yearmonth,app_web_cross_usage
com.foobnix.pdf.reader,IN,google.com,2024-09,1.0
com.crushu.app,IN,google.com,2024-09,1.0
com.dayalunitaidas.learners,IN,iskcondesiretree.com,2024-09,1.0
com.appsbeyond.countdownplus.lite,GB,doubleclick.net,2024-09,1.0
com.arch2order.ordering.foodRewards,GB,service.gov.uk,2024-09,1.0
com.solflare.mobile,FR,google.com,2024-09,1.0
com.sushishop.fr,FR,google.com,2024-09,1.0
com.ticketnunc.ticketnunc,FR,x.com,2024-09,1.0
com.what3words.android,FR,facebook.com,2024-09,1.0
fr.cityway.android.st2n,FR,google.com,2024-09,1.0
