domain,yearmonth,main_category,sub_category,online_revenue,ecommerce_type,first_level_domain,description
0001rac.com,2024-09,Vehicles,Motor Vehicles,,,,
01071442093.findpeople.help,2024-09,Vehicles,Boats & Watercraft,,,,
0112465606.telefono.click,2024-09,Vehicles,Vehicle Parts & Accessories,,,,
011329326nov22.xn----7sbbaalcuq9ad5a8a2m.xn--p1ai,2024-09,Vehicles,Motor Vehicles,,,,
0115817794.telefono.click,2024-09,Vehicles,Vehicle Parts & Accessories,,,,
01437298613.infoapp.help,2024-09,Vehicles,Motor Vehicles,,,,
01522393.telefono.click,2024-09,Vehicles,Vehicle Parts & Accessories,,,,
0152487594.privatetube.info,2024-09,Vehicles,Vehicle Dealers,,,,
01e519e2f6.kanstgrad.ru,2024-09,Vehicles,Vehicle Repair & Maintenance,,,,
01gky8n45.sanjimp4.org,2024-09,Vehicles,Motor Vehicles,,,,
