primary_app,country,affined_app,yearmonth,apps_affinity_android
com.google.android.apps.photos,MC,com.facebook.lite,2024-09,1.278361765595719
com.android.providers.downloads.ui,MC,com.jetsign.app,2024-09,1.2635647814701958
com.android.providers.downloads.ui,MC,com.miui.weather2,2024-09,1.2532130898189808
com.samsung.android.net.wifi.wifiguider,TO,com.puzzlegamesclassic.puzzlegame,2024-09,1.2426574779814508
com.samsung.android.net.wifi.wifiguider,TO,com.word.game.crossword.brain.puzzle.scapes.connect,2024-09,1.2426574779814508
com.google.android.tts,VU,com.bgg.jump,2024-09,1.2410425270627998
com.google.android.apps.photos,MC,fr.leboncoin,2024-09,1.080953737729299
com.android.traceur,DJ,com.crunchyroll.crunchyroid,2024-09,1.0712722431804853
com.android.providers.downloads.ui,MC,com.fysiki.fizzup,2024-09,1.068441743293865
com.android.providers.downloads.ui,MC,com.edge11.app.forexcalculators.beta,2024-09,1.068441743293865
