app,country,yearmonth,apps_demographics_age_18_to_24_percentage,apps_demographics_age_25_to_34_percentage,apps_demographics_age_35_to_44_percentage,apps_demographics_age_45_to_54_percentage,apps_demographics_age_55_plus_percentage,apps_demographics_male_percentage,apps_demographics_female_percentage,apps_daily_active_users,apps_sessions_per_user,apps_avg_usage_time_per_session,apps_avg_total_usage_time_per_user,apps_install_penetration,apps_unique_installs,apps_downloads,apps_daily_active_users_ios,apps_monthly_active_users_android,apps_monthly_active_users_ios,apps_daily_active_users_android
A285.Stm.Eg.wallpaperpack,KE,2024-05,100.0,0.0,0.0,0.0,0.0,61.11111111111112,38.88888888888889,,,,,0.000493260922815522,,0.0,,,,
Ancient.Cutecoupledogsjdd.com.wallpaper,KE,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,0.0002838844476744186,,0.0,,,,
ArtTouch.chaotianque.taskmanager,PL,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,0.0008462359901229724,,0.0,,,,
Biltu.PinkSkyNet374.com.wallpaperpack,GB,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,1.0509712656048212e-05,,0.0,,,,
BiltuTheme.ThunderNight385.com.wallpaper,WW,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,,
CDS.Turquoise_Wall_Picture.appicon,IN,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,0.00011906366891324522,,0.0,,,,
COM.RDH.goldgoldenclockhappyNewYear,US,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,5.821319904692196e-06,,0.0,,,,
CarolDemunno.Stars_Connections_Silver.home,US,2024-05,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,2.6290244297039307e-06,,0.0,,,,
Cheilpengtai.n201612F026.wsomacp,CN,2024-05,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,
DBP.ZatolKorsi,DE,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,5.507617463389445e-05,,0.0,,,,
