app,country,mode,device_code,rank_category,date,apps_ranking_history_ios,apps_ranking_history_android
6470918018,BY,topselling_free,ios-phone,Utilities,2024-06-24,204,
1541641406,BY,topselling_free,ios-phone,Utilities,2024-06-24,203,
413971331,BY,topselling_free,ios-phone,Utilities,2024-06-24,202,
1532220797,BY,topselling_free,ios-phone,Utilities,2024-06-24,201,
1049876497,CR,topgrossing,ios-tablet,Games,2024-06-24,200,
1056662247,BG,topselling_free,ios-phone,Games / Casino,2024-06-24,200,
1068090109,BR,topselling_paid,ios-phone,Health & Fitness,2024-06-24,200,
1075622390,MX,topselling_paid,ios-tablet,Travel,2024-06-24,200,
1085697317,UA,topselling_free,ios-tablet,Music,2024-06-24,200,
1104260355,DK,topselling_paid,ios-tablet,Photo & Video,2024-06-24,200,
