app,country,date,apps_weekly_active_users_android,apps_weekly_active_users_ios
com.google.android.youtube,WW,2024-06-17,1458360760.3919756,
com.android.chrome,WW,2024-06-17,1411004532.4272475,
com.whatsapp,WW,2024-06-17,1373583066.727985,
com.android.settings,WW,2024-06-17,1348251844.06894,
com.google.android.googlequicksearchbox,WW,2024-06-17,1296781867.6417427,
com.android.vending,WW,2024-06-17,1275605245.0477817,
android,WW,2024-06-17,979817435.9943686,
com.facebook.katana,WW,2024-06-17,975092895.5856411,
com.android.systemui,WW,2024-06-17,929507430.8523237,
com.instagram.android,WW,2024-06-17,844106612.8687917,
