domain,overlapping_domain,country,yearmonth,mobile_audience_interests_affinity,mobile_audience_interests_overlap,desktop_audience_interests_affinity,desktop_audience_interests_overlap
auth.poker*,play.globalpoker.com,US,2024-05,0.9960757927866916,0.9740518962075848,0.9957672515851111,0.9910218041898248
login.auth.poker,play.globalpoker.com,US,2024-05,0.996075779366187,0.974288567149276,0.9957673215204256,0.9914420196833548
login.auth.poker#,play.globalpoker.com,US,2024-05,0.9960757793661869,0.974288567149276,0.9957673215204256,0.9914420196833548
login5.fisglobal.com#,cardholder.ebtedge.com,US,2024-05,0.996034236784852,0.940777666999003,0.9957137120117192,0.9480114374837536
login5.fisglobal.com,cardholder.ebtedge.com,US,2024-05,0.996034236784852,0.940777666999003,0.9957137120117192,0.9480114374837536
amer.amway.com#,account2.amwayglobal.com,US,2024-05,0.995852643461746,0.9923664122137404,0.9955413680636964,0.9913569576490924
auth.prod.amer.amway.com,account2.amwayglobal.com,US,2024-05,0.995852643461746,0.9923664122137404,0.9955413680636964,0.9913569576490924
apply.careersandjobs.co,join.startacareertoday.com,US,2024-05,0.9958454172766884,0.945759368836292,0.9954986141161885,0.9561643835616438
apply.careersandjobs.co#,join.startacareertoday.com,US,2024-05,0.995845417276688,0.945759368836292,0.9954986141161885,0.9561643835616438
careersandjobs.co*,join.startacareertoday.com,US,2024-05,0.9958432829404266,0.9448275862068966,0.9954949284212204,0.9548563611491108
