domain,country,segment_id,channel,channel_sector,yearmonth,channel_visits,channel_conversion_rate,channel_converted_visits
yandex.ru,RU,yandex.ru#,Direct,Other,2024-08,1145966028,0.0019,2164845
amazon.com,US,amazon.com#,Direct,Marketplaces,2024-08,809635130,0.1374,111209235
netflix.com,US,netflix.com#,Direct,Media and Streaming and Music,2024-08,338584213,0.0005,166431
yandex.ru,RU,yandex.ru#,Referrals,Other,2024-08,230712537,0.0019,443057
amazon.com,US,amazon.com#,Organic Search,Marketplaces,2024-08,220224370,0.0933,20552558
amazon.co.jp,JP,amazon.co.jp#,Direct,Marketplaces,2024-08,176797607,0.0764,13512601
ebay.com,US,ebay.com#,Direct,Marketplaces,2024-08,171875986,0.0408,7004369
wildberries.ru,RU,wildberries.ru#,Direct,Marketplaces,2024-08,119288890,0.0652,7780374
ozon.ru,RU,ozon.ru#,Direct,Marketplaces,2024-08,117082996,0.0734,8589726
amazon.de,DE,amazon.de#,Direct,Marketplaces,2024-08,110959505,0.1173,13013134
