domain,country,date,dsn_total_visits
royalcaribbean.com,WW,2024-06-24,484022.2007518304
carnival.com,WW,2024-06-24,481316.6651016718
carnival.com,US,2024-06-24,445881.81787717936
disneyworld.disney.go.com,WW,2024-06-24,396989.52915364207
royalcaribbean.com,US,2024-06-24,374052.3009732059
disneyworld.disney.go.com,US,2024-06-24,353373.527709868
ncl.com,WW,2024-06-24,338880.34349722485
princess.com,WW,2024-06-24,313977.1081714785
disneyland.disney.go.com,WW,2024-06-24,280622.9527116343
ncl.com,US,2024-06-24,259855.7659759109
