country,keyword,search_engine_type,yearmonth,keywords_volume
WW,ipl,Google Search,2024-05,567836272.2528245
WW,youtube,Google Search,2024-05,533748282.26203066
IN,ipl,Google Search,2024-05,498448185.54331625
WW,facebook,Google Search,2024-05,336612170.61354667
WW,nba,Google Search,2024-05,302941104.55700827
WW,pornhub,Google Search,2024-05,275734940.99639
WW,weather,Google Search,2024-05,239235964.32611787
WW,translate,Google Search,2024-05,229317306.2639563
WW,amazon,Google Search,2024-05,229304902.7858818
WW,instagram,Google Search,2024-05,184246249.97606763
