domain,country,channel,date,desktop_marketing_channels_visits,desktop_marketing_channels_share
google.com,WW,direct,2024-06-24,1163206180.2622387,0.9508915322222522
youtube.com,WW,direct,2024-06-24,683221223.8508343,0.8428965338443287
mail.google.com,WW,direct,2024-06-24,370929574.0954079,0.9358224386814824
google.com,US,direct,2024-06-24,314396874.89478886,0.9598288399269386
facebook.com,WW,direct,2024-06-24,185267493.39660048,0.8256548600839501
youtube.com,US,direct,2024-06-24,147961395.96875077,0.8292409353563571
docs.google.com,WW,direct,2024-06-24,128168792.4178908,0.8817666021045469
mail.google.com,US,direct,2024-06-24,123554460.2890825,0.9424746983353784
youtube.com,WW,organic_search,2024-06-24,98741716.81042431,0.1218185968759016
whatsapp.com,WW,direct,2024-06-24,73271548.2486038,0.7935288706910235
