domain,country,channel,yearmonth,desktop_marketing_channels_visits,desktop_marketing_channels_share,mobile_marketing_channels_visits,mobile_marketing_channels_share
google.com,WW,direct,2024-05,33758372342.51553,0.9503452331129048,33313277558.85817,0.6570612399824918
youtube.com,WW,direct,2024-05,21533235613.3239,0.8458389978859956,3480361123.484065,0.4822033454243437
mail.google.com,WW,direct,2024-05,9993105607.976078,0.9368236761014516,382451973.2564601,0.6330303137242879
google.com,US,direct,2024-05,9013809984.004194,0.9579185913717896,6243253860.840327,0.671643591884582
facebook.com,WW,direct,2024-05,5535900047.755187,0.827664546148225,5523539726.588153,0.5906553178678907
youtube.com,US,direct,2024-05,4466716134.1212015,0.833859784090829,466821125.95622414,0.4852798288293883
docs.google.com,WW,direct,2024-05,3650619974.543616,0.8777118400187073,978953427.81589,0.6043492551821512
mail.google.com,US,direct,2024-05,3399853493.090492,0.9441033875671896,85561653.98976235,0.6483221970619405
youtube.com,WW,organic_search,2024-05,3090766843.0810223,0.1214072597447127,3182185242.140119,0.4408911360278175
whatsapp.com,WW,direct,2024-05,2033678383.2924032,0.8013908177640068,408375442.8489744,0.5957166843872963
