site_rule,country,date,oss_kw__calibrated_users,oss_kw__calibrated_visits,oss_kw__oss_keyword
youtube.com - Total Visits,KE,2024-06-25,1669.6247667586822,2526.999646986114,citizen tv live
youtube.com - Total Visits,RU,2024-06-25,1142.6804888958493,1265.7383877000177,а4
youtube.com - Total Visits,RU,2024-06-25,949.3037907750132,1037.2022899208475,куплинов
youtube.com - Total Visits,RU,2024-06-25,668.0285935083426,773.506792483344,шарий
ozon.ru - Total Visits,RU,2024-06-25,668.0285935083426,703.1879931666764,смартфон
youtube.com - Total Visits,US,2024-06-25,635.1210352024798,702.9758466557361,dr disrespect
youtube.com - Total Visits,RU,2024-06-25,527.3909948750073,703.1879931666764,музыка
youtube.com - Total Visits,IN,2024-06-25,482.4096098538696,519.2199816901086,indian 2 trailer
youtube.com - Total Visits,IN,2024-06-25,432.0375220779635,451.4114019917735,stree 2 teaser
ozon.ru - Total Visits,RU,2024-06-25,404.3330960708389,404.3330960708389,футболка
