domain,country,page,yearmonth,popular_page_share
0-jcr-clarivate-com.opac.unicatt.it,WW,0-jcr-clarivate-com.opac.unicatt.it/JCRLandingPageAction.action?Init=Yes&SrcApp=IC2LS&SID=H4-fO9XWal9LdpueIXHTe9NZdJIHL1I4NAu-18x2doDS5IW487xxYeA24DqhpckAx3Dx3DjVOiN4x2BKteKzlKj2stfnAQx3Dx3D-qBgNuLRjcgZrPm66fhjx2Fmwx3Dx3D-h9tQNJ9Nv4eh45yLvkdX3gx3Dx3D,2024-09,1.0
0.kasahorow.org,FR,0.kasahorow.org/?q=kjson&method=get.links&args=fr%3Esg:imb%C3%A9cile&key=fr_mag&format=html,2024-09,1.0
00038.cn,TW,00038.cn/tool/dlt/dltdb.aspx,2024-09,1.0
000793.com,CN,000793.com/gsjj.jhtml,2024-09,1.0
000films.com,MY,000films.com,2024-09,1.0
000scans.carrd.co,CA,000scans.carrd.co,2024-09,1.0
000xs.xyz,US-NJ,000xs.xyz,2024-09,1.0
001cafe.sg,WW,001cafe.sg/menu,2024-09,1.0
007.coach,US,007.coach/en,2024-09,1.0
007ch.net,SG,007ch.net,2024-09,1.0
