domain,country,company_name,ticker,date,russel_1000_calibrated_domains__russel_1000_calibrated_visits,russel_1000_calibrated_domains__russel_1000_calibrated_bounce_rate,russel_1000_calibrated_domains__russel_1000_calibrated_pages_per_visit,russel_1000_calibrated_domains__russel_1000_calibrated_avg_visit_duration
google.com,WW,Alphabet Inc Class C,GOOG,2024-06-25,8072456.87,0.2327,12.59,1020
google.com,WW,Alphabet Inc Class A,GOOGL,2024-06-25,8072456.87,0.2327,12.59,1020
facebook.com,WW,Facebook,FB,2024-06-25,1260779.97,0.2293,13.6,907
whatsapp.com,WW,Facebook,FB,2024-06-25,1106565.69,0.3447,1.86,1521
yahoo.com,WW,Verizon,VZ,2024-06-25,398373.82,0.2916,6.46,684
linkedin.com,WW,Microsoft Corp.,MSFT,2024-06-25,295993.1,0.1583,10.09,650
netflix.com,WW,Netflix Inc,NFLX,2024-06-25,241616.44,0.4078,4.1,492
microsoft.com,WW,Microsoft Corp.,MSFT,2024-06-25,191910.31,0.4988,3.59,247
amazon.com,WW,"Amazon.com, Inc.",AMZN,2024-06-25,175164.0,0.2463,11.96,562
pinterest.com,WW,"Pinterest, Inc.",PINS,2024-06-25,137080.86,0.2751,9.63,612
