domain,category_id,shopper_category,yearmonth,category_sales_performance_product_views,category_sales_performance_units_sold,category_sales_performance_revenue,category_sales_performance_cvr,category_sales_performance_units_sold_1P,category_sales_performance_units_sold_3P,category_sales_performance_revenue_1P,category_sales_performance_revenue_3P
amazon.com,-1,All Categories,2024-09,12575716504,1477183224,41361538223,0.107,528683875.8696,948499348.1304,12892391464.109098,28469146758.8909
amazon.com,7141123011,"Clothing, Shoes & Jewelry",2024-09,2785985121,205583680,5625782474,0.07,37333996.288,168249683.712,1036831709.9582,4588950764.0418
amazon.com,1055398,Home & Kitchen,2024-09,2595842699,174825339,6268641621,0.06,25821702.5703,149003636.42970002,1367190737.5401,4901450883.4599
amazon.com,7147440011,"Clothing, Shoes & Jewelry > Women",2024-09,1544384281,108364488,3051488163,0.068,9720294.5736,98644193.4264,332001912.1344,2719486250.8656
amazon.de,-1,All Categories,2024-09,1377852225,65604326,2374540039,0.043,23702842.9838,41901483.016200006,1133130506.6108,1241409532.3891995
amazon.com,1040660,"Clothing, Shoes & Jewelry > Women > Clothing",2024-09,989425689,68985979,1853701796,0.067,6022475.9667,62963503.0333,148296143.68,1705405652.3200002
amazon.co.uk,-1,All Categories,2024-09,962785337,69824607,1577909334,0.066,28935317.1408,40889289.8592,747297860.5824001,830611473.4175999
amazon.ca,-1,All Categories,2024-09,893948411,54378775,2633966776,0.055,20892325.355,33486449.645,864467895.8831999,1769498880.1167998
amazon.com,3760911,Beauty & Personal Care,2024-09,892368551,140080391,2416877405,0.146,56354341.2993,83726049.7007,841556712.421,1575320692.5789998
amazon.com,3760901,Health & Household,2024-09,769190465,183144813,3736341662,0.216,89338039.7814,93806773.2186,1483327639.814,2253014022.186
