domain,category_id,brand,shopper_top_brands_category,yearmonth,category_sales_performance_top_brands_units_sold,category_sales_performance_top_brands_revenue,category_sales_performance_top_brands_product_views,category_sales_performance_top_brands_cvr
amazon.de,10084752031,Timex,Watches > Women > Wrist Watches,2024-05,62,2475,7148,0.008
amazon.de,10084752031,Casio,Watches > Women > Wrist Watches,2024-05,956,27077,34434,0.025
amazon.de,10084752031,Besuche den Citizen-Store,Watches > Women > Wrist Watches,2024-05,11,1180,1333,0.008
amazon.de,10084752031,Besuche den s.Oliver-Store,Watches > Women > Wrist Watches,2024-05,122,4858,2796,0.039
amazon.de,10084752031,Orient,Watches > Women > Wrist Watches,2024-05,674,64512,44758,0.014
amazon.de,10084752031,Besuche den JewelryWe-Store,Watches > Women > Wrist Watches,2024-05,396,4029,5859,0.061
amazon.de,10084752031,Citizen,Watches > Women > Wrist Watches,2024-05,174,18129,10003,0.016
amazon.de,10084752031,JewelryWe,Watches > Women > Wrist Watches,2024-05,122,596,1723,0.064
amazon.de,10084752031,Besuche den Seiko-Store,Watches > Women > Wrist Watches,2024-05,17,2432,2005,0.007
amazon.de,10084752031,Besuche den Casio-Store,Watches > Women > Wrist Watches,2024-05,166,5648,12015,0.012
