domain,brand,category_id,asin,brand_sales_performance_top_products_category_name,yearmonth,brand_sales_performance_top_products_num_asins,brand_sales_performance_top_products_units_sold,brand_sales_performance_top_products_revenue,brand_sales_performance_top_products_product_views,brand_sales_performance_top_products_average_unit_price,brand_sales_performance_top_products_reviews,brand_sales_performance_top_products_rating,brand_sales_performance_top_products_asin_name,brand_sales_performance_top_products_variations
amazon.com,Gildan,-1,B0767RWLS2,All Categories,2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Gildan,1044544,B0767RWLS2,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > T-Shirts",2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Gildan,2368343011,B0767RWLS2,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses",2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Gildan,1040660,B0767RWLS2,"Clothing, Shoes & Jewelry > Women > Clothing",2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Gildan,7147440011,B0767RWLS2,"Clothing, Shoes & Jewelry > Women",2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Gildan,7141123011,B0767RWLS2,"Clothing, Shoes & Jewelry",2024-05,12214,4406,56525,42375,12.83,11322,4.2,"Gildan Women's Heavy Cotton T-Shirt, Style G5000L, 2-Pack","B07M93KWG5,B0767SJMF6,B07M8J52T2,B07M8SP5ZM,B0767T7NV2,B0767V3Q4M,B07M93H343,B0767SVJ82,B07M93H349,B0767TM6J2,B07M8SN4XF,B07M8SMQ4C,B07M8J5JDZ,B07MMSWPQK,B07MMSC616,B07M8J31WH,B07M93F5KQ,B07MMSC61S,B07M93C8X5,B07M8J5JCS,B07M5BLK5C,B07MMSVRLD,B0767TT7X7,B07MMSHCP6,B07MMSGN27,B07M93H34B,B09K5ZMMFY,B07MMSHCPL,B07M87KGXQ,B07M8SP5ZD,B07M8J58XJ,B07M8J58F2,B07M93C8X6,B09K5YXPC5,B09K5ZM4B1,B07M8J5NPQ,B07MMSTKJW,B07M93F5KF,B07M8SPB45,B08JMCBXPT,B07M8SPB4S,B07M8J58DF,B07M93CBXJ,B07M8J5NNN,B09K612Y8M,B07M936D9T,B07MMSTKKS,B09K613LMM"
amazon.com,Windowsandgarden,3736191,B01M6WXUUM,Home & Kitchen > Home Décor > Window Treatments > Blinds & Shades > Horizontal Blinds,2024-05,9465,0,0,2222,115.48,92,4.6,"2 Inch Cordless Faux Wood Blinds, 48 1/8 to 54 Wide x 12 to 96 High, Pavestone","B0BB45C7D4,B0BB456YYH,B0BB4BJSFM,B09SJ3VG4R,B0BYMTGFGK,B0BB5587YN,B09SJ5BSBP,B09SJ54BML,B0BB4CMZMX,B0BB5BMZ9X,B0BB4X4DN3,B0BB4CSH3J,B09SJ64ZTQ,B09SJ5N7WZ,B0BB4P58M6,B09SJ57SCJ,B09SJ3LHCG,B09SJ5RQKK,B0BB4RHP47,B09SJ3W1XR,B0BB4JL78X,B0BYMGMT5G,B0BB4X3TCQ,B0BB4KGCLG,B0BB5BQ41V,B09SJ64RX9,B09SJ52NVK,B0BB4SNPPQ,B0BB53M96F,B09SJ3P31M,B09SJ448TH,B09SJ3RSFG,B09SJVW24H,B0BB44QXHR,B0BYMTCNGP,B00LBRBUNC,B09SJ54Y1X,B0BB4CMPJZ,B09SJ5HX7X,B0BB4H8X66,B09SJ34LGT,B0BB4WN8CJ,B09SJ34LGV,B0BB53FLRC,B09SJ3FSKT,B0BB4MS41B,B0BB4RHM77,B09SJ3SGMB,B09SJ5ZF4L"
amazon.com,Windowsandgarden,3736181,B01M6WXUUM,Home & Kitchen > Home Décor > Window Treatments > Blinds & Shades,2024-05,9465,0,0,2222,115.48,92,4.6,"2 Inch Cordless Faux Wood Blinds, 48 1/8 to 54 Wide x 12 to 96 High, Pavestone","B0BB45C7D4,B0BB456YYH,B0BB4BJSFM,B09SJ3VG4R,B0BYMTGFGK,B0BB5587YN,B09SJ5BSBP,B09SJ54BML,B0BB4CMZMX,B0BB5BMZ9X,B0BB4X4DN3,B0BB4CSH3J,B09SJ64ZTQ,B09SJ5N7WZ,B0BB4P58M6,B09SJ57SCJ,B09SJ3LHCG,B09SJ5RQKK,B0BB4RHP47,B09SJ3W1XR,B0BB4JL78X,B0BYMGMT5G,B0BB4X3TCQ,B0BB4KGCLG,B0BB5BQ41V,B09SJ64RX9,B09SJ52NVK,B0BB4SNPPQ,B0BB53M96F,B09SJ3P31M,B09SJ448TH,B09SJ3RSFG,B09SJVW24H,B0BB44QXHR,B0BYMTCNGP,B00LBRBUNC,B09SJ54Y1X,B0BB4CMPJZ,B09SJ5HX7X,B0BB4H8X66,B09SJ34LGT,B0BB4WN8CJ,B09SJ34LGV,B0BB53FLRC,B09SJ3FSKT,B0BB4MS41B,B0BB4RHM77,B09SJ3SGMB,B09SJ5ZF4L"
amazon.com,Windowsandgarden,1063302,B01M6WXUUM,Home & Kitchen > Home Décor > Window Treatments,2024-05,9465,0,0,2222,115.48,92,4.6,"2 Inch Cordless Faux Wood Blinds, 48 1/8 to 54 Wide x 12 to 96 High, Pavestone","B0BB45C7D4,B0BB456YYH,B0BB4BJSFM,B09SJ3VG4R,B0BYMTGFGK,B0BB5587YN,B09SJ5BSBP,B09SJ54BML,B0BB4CMZMX,B0BB5BMZ9X,B0BB4X4DN3,B0BB4CSH3J,B09SJ64ZTQ,B09SJ5N7WZ,B0BB4P58M6,B09SJ57SCJ,B09SJ3LHCG,B09SJ5RQKK,B0BB4RHP47,B09SJ3W1XR,B0BB4JL78X,B0BYMGMT5G,B0BB4X3TCQ,B0BB4KGCLG,B0BB5BQ41V,B09SJ64RX9,B09SJ52NVK,B0BB4SNPPQ,B0BB53M96F,B09SJ3P31M,B09SJ448TH,B09SJ3RSFG,B09SJVW24H,B0BB44QXHR,B0BYMTCNGP,B00LBRBUNC,B09SJ54Y1X,B0BB4CMPJZ,B09SJ5HX7X,B0BB4H8X66,B09SJ34LGT,B0BB4WN8CJ,B09SJ34LGV,B0BB53FLRC,B09SJ3FSKT,B0BB4MS41B,B0BB4RHM77,B09SJ3SGMB,B09SJ5ZF4L"
amazon.com,Windowsandgarden,1063278,B01M6WXUUM,Home & Kitchen > Home Décor,2024-05,9465,0,0,2222,115.48,92,4.6,"2 Inch Cordless Faux Wood Blinds, 48 1/8 to 54 Wide x 12 to 96 High, Pavestone","B0BB45C7D4,B0BB456YYH,B0BB4BJSFM,B09SJ3VG4R,B0BYMTGFGK,B0BB5587YN,B09SJ5BSBP,B09SJ54BML,B0BB4CMZMX,B0BB5BMZ9X,B0BB4X4DN3,B0BB4CSH3J,B09SJ64ZTQ,B09SJ5N7WZ,B0BB4P58M6,B09SJ57SCJ,B09SJ3LHCG,B09SJ5RQKK,B0BB4RHP47,B09SJ3W1XR,B0BB4JL78X,B0BYMGMT5G,B0BB4X3TCQ,B0BB4KGCLG,B0BB5BQ41V,B09SJ64RX9,B09SJ52NVK,B0BB4SNPPQ,B0BB53M96F,B09SJ3P31M,B09SJ448TH,B09SJ3RSFG,B09SJVW24H,B0BB44QXHR,B0BYMTCNGP,B00LBRBUNC,B09SJ54Y1X,B0BB4CMPJZ,B09SJ5HX7X,B0BB4H8X66,B09SJ34LGT,B0BB4WN8CJ,B09SJ34LGV,B0BB53FLRC,B09SJ3FSKT,B0BB4MS41B,B0BB4RHM77,B09SJ3SGMB,B09SJ5ZF4L"
