site_1,site_2,yearmonth,site_affinity
resgatadoresdealma.blogspot.com,diarionovaconvertida.blogspot.com,2024-09,1455418748834.394
plastchi.ir,parsam-co.com,2024-09,1410718205000.763
parsam-co.com,plastchi.ir,2024-09,1410718205000.763
gandlpositivegoods.com,vistaclubshop.com,2024-09,1195421276312.8918
vistaclubshop.com,gandlpositivegoods.com,2024-09,1195421276312.8918
mec-point.srl,uster.it,2024-09,902974811847.3126
uster.it,mec-point.srl,2024-09,902974811847.3126
connect-kokoro.jp,vehicles.jp,2024-09,796922709977.5555
vehicles.jp,connect-kokoro.jp,2024-09,796922709977.5555
allstateconveyors.com,megadyneamericas.com,2024-09,754752095939.9684
