domain,country,segment_id,stickiness_sector,site_sector,yearmonth,segment_conversion_stickiness,site_visits,site_conversion_rate,site_converted_visits
orbea.com,ES,orbea.com#,Outdoors Equipment,Outdoors Equipment,2024-05,21.0,101665,0.1891,19226
chorus.co.nz,NZ,chorus.co.nz#,Telecom Operator,Telecom Operator,2024-05,20.0,86696,0.0478,4141
elektro-material.ch,CH,elektro-material.ch#,Consumer Electronics Retailers,Consumer Electronics Retailers,2024-05,7.5,113188,0.1508,17069
acdelcoconnection.com,US,acdelcoconnection.com#,Auto Parts,Auto Parts,2024-05,7.34,1541888,0.1714,264320
sonepar.ch,CH,sonepar.ch#,Specialty Home Retailers,Specialty Home Retailers,2024-05,7.13,76986,0.1848,14227
mistermenuiserie.com,FR,mistermenuiserie.com#,Home Ware and Improvement,Home Ware and Improvement,2024-05,7.0,84488,0.0155,1311
ounass.com,SA,ounass.com#,Fashion Retailers,Fashion Retailers,2024-05,7.0,36442,0.0039,142
advancepro.com,US,advancepro.com#,Auto Parts,Auto Parts,2024-05,6.89,3441025,0.1496,514784
firstcallonline.com,US,firstcallonline.com#,Auto Parts,Auto Parts,2024-05,6.75,5390045,0.2422,1305600
rexel.nl,NL,rexel.nl#,Consumer Electronics Retailers,Consumer Electronics Retailers,2024-05,6.0,43028,0.187,8045
