domain,country,keyword,date,desktop_keywords_total_visits,desktop_keywords_organic_visits,desktop_keywords_paid_visits,desktop_keywords_total_share,desktop_keywords_organic_share,desktop_keywords_paid_share,desktop_keywords_top_all_url_position,desktop_keywords_top_organic_url_position,desktop_keywords_top_paid_url_position,desktop_keywords_top_all_url,desktop_keywords_top_organic_url,desktop_keywords_top_paid_url
youtube.com,WW,youtube,2024-06-18,57434277.8863736,57166351.9726227,267925.91375090386,0.0839476390951899,0.0836476768515498,0.3574303986306172,1,1,1.0,https://m.youtube.com/?hl=fr,https://m.youtube.com/?hl=fr,https://www.youtube.com/watch?v=8TMvx7vQ-rU
web.whatsapp.com,WW,whatsapp web,2024-06-18,39376905.960107714,39376870.14015442,35.81995329536746,0.6294784931122225,0.6295712259293132,0.0038636898388386,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
whatsapp.com,WW,whatsapp web,2024-06-18,37229538.16825087,37229502.881214686,35.287036182677454,0.5681214943522251,0.5682741345485517,0.0019976910986286,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
facebook.com,WW,facebook,2024-06-18,25961233.24340048,25883127.78256935,78105.46083113333,0.1417677323827562,0.1419017238942778,0.1079794518963408,1,1,1.0,https://www.facebook.com/?locale=sk_SK,https://www.facebook.com/?locale=sk_SK,https://www.facebook.com/r.php
netflix.com,WW,netflix,2024-06-18,12282182.662366956,12178315.227913966,103867.43445298888,0.5025091265766175,0.5006231447619955,0.9000815335921667,1,1,1.0,https://www.netflix.com/,https://www.netflix.com/,https://www.netflix.com/ph-en/
mail.google.com,WW,gmail,2024-06-18,12012554.951799426,12012328.444232458,226.5075669700016,0.447544282905412,0.4480203151480191,0.0078039266476965,1,1,,https://mail.google.com/mail/u/0/,https://mail.google.com/mail/u/0/,
instagram.com,WW,instagram,2024-06-18,9727447.333647177,9636492.06516398,90955.26848319516,0.0891098151257992,0.0884537309052622,0.4160913647790712,1,1,1.0,https://www.instagram.com/,https://www.instagram.com/,https://www.instagram.com/accounts/emailsignup/
youtube.com,US,youtube,2024-06-18,9721239.50554444,9704932.69022564,16306.815318799465,0.0608247578345586,0.0608060242093392,0.0744814961004449,1,1,,https://www.youtube.com/,https://www.youtube.com/,
openai.com,WW,chatgpt,2024-06-18,9625275.075538082,9622766.95722609,2508.1183119915004,0.3527563739323416,0.3527561500376029,0.3536174766584506,1,1,,https://openai.com/blog/chatgpt/,https://openai.com/blog/chatgpt/,
canva.com,WW,canva,2024-06-18,9391718.3758879,9391306.007488756,412.3683991454173,0.4548107223007003,0.4609892489879294,0.0014851675676065,1,1,,https://www.canva.com/es_es/,https://www.canva.com/es_es/,
