domain,country,keyword,date,desktop_keywords_total_visits,desktop_keywords_organic_visits,desktop_keywords_paid_visits,desktop_keywords_total_share,desktop_keywords_organic_share,desktop_keywords_paid_share,desktop_keywords_top_all_url_position,desktop_keywords_top_organic_url_position,desktop_keywords_top_paid_url_position,desktop_keywords_top_all_url,desktop_keywords_top_organic_url,desktop_keywords_top_paid_url
youtube.com,WW,youtube,2024-06-10,56839292.20939713,56547218.753776655,292073.4556204803,0.0838797229774834,0.0835441016246158,0.3774509055610242,1,1,1.0,https://www.youtube.com/,https://www.youtube.com/,https://www.youtube.com/watch?v=8TMvx7vQ-rU
web.whatsapp.com,WW,whatsapp web,2024-06-10,39453327.93555888,39453219.71437651,108.22118236865629,0.6252131324301008,0.6253069112459494,0.0112298728189629,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
whatsapp.com,WW,whatsapp web,2024-06-10,37254167.589802034,37254060.92108525,106.6687167790873,0.5628756859024804,0.5630077298322808,0.0067889390766172,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
facebook.com,WW,facebook,2024-06-10,25825203.772133544,25728726.075822808,96477.696310738,0.1401668253484073,0.140240419282415,0.1229591908620026,1,1,1.0,https://www.facebook.com/,https://www.facebook.com/,https://www.facebook.com/r.php
netflix.com,WW,netflix,2024-06-10,12871471.419777423,12756364.373367416,115107.04641001056,0.5064307526015142,0.504341372391841,0.936293655397318,1,1,1.0,https://www.netflix.com/au/,https://www.netflix.com/au/,https://www.netflix.com/ph-en/
mail.google.com,WW,gmail,2024-06-10,12139510.165283656,12139269.974937528,240.1903461268169,0.4478383765749827,0.4483940978361835,0.007037338816135,1,1,,https://mail.google.com/mail/u/0/,https://mail.google.com/mail/u/0/,
canva.com,WW,canva,2024-06-10,10455319.475350913,10452298.18292351,3021.2924274062552,0.4674728804308111,0.4734179468156927,0.01051821624046,1,1,,https://www.canva.com/pt_br/,https://www.canva.com/pt_br/,
openai.com,WW,chatgpt,2024-06-10,9954057.42572083,9950912.312573556,3145.113147277769,0.3376963113072701,0.3377042981265634,0.314186385558547,1,1,,https://openai.com/blog/chatgpt/,https://openai.com/blog/chatgpt/,
instagram.com,WW,instagram,2024-06-10,9636350.251837462,9554901.857514458,81448.39432300569,0.0892893393161762,0.0887011916814052,0.4019480413069861,1,1,1.0,https://www.instagram.com/,https://www.instagram.com/,https://www.instagram.com/accounts/emailsignup/
youtube.com,US,youtube,2024-06-10,9594471.794791829,9584248.633483982,10223.161307846673,0.0616562490925794,0.061682513862234,0.0440655359604681,1,1,,https://www.youtube.com/,https://www.youtube.com/,
