parent_company_domain,subsidiary_domain,yearmonth,subsidiary_parent_company_name,subsidiary_name
cre-jpn.com,creasia.vn,2024-05,（株）シーアールイー,CREASIA
enplas.com,enplaslifetech.com,2024-05,（株）エンプラス,Enplas Life Tech
enplas.com,enplasusa.com,2024-05,（株）エンプラス,Enplas USA
enplas.com,enplas.co.jp,2024-05,（株）エンプラス,Enplas
enplas.com,melchiorre.net,2024-05,（株）エンプラス,Melchiorre S.R.L
se-corp.com,ingerosec.com,2024-05,（株）エスイー,INGEROSEC
megastudyholdings.com,stunitas.com,2024-05,"온오프라인 교육사업, 출판콘텐츠 사업, 단체급식사업, 투자사업",ST Unitas
samsungpop.com,ssfutures.com,2024-05,신뢰에 가치로 답하다,Samsung Futures
zcapital.cn,twinstarhome.com,2024-05,阿里云企航_万网域名_工商财税_知识产权_资质备案_智能设计_网站建设-阿里云,Twin Star Home
noblelift.cn,savoye.com,2024-05,诺力集团是一家发轫中国、布局全球的国际化公司，于2015年在上交所a股主板上市。设立20余年以来，诺力集团通过不断的技术创新和有计划的规模扩张，逐步发展为能够同时提供物料搬运设备、智能立体仓库、智能输送分拣系统、agv及其系统、供应链综合系统软件以及智能制造全系统整体解决方案的公司。,Savoye
