domain,country,technology,yearmonth,technologies__site_category,technologies__total_estimated_visits,technologies__total_estimated_unique,technologies__total_bounce_rate,technologies__fill_confidence
4id.ro,Worldwide,CloudFlare,2024-05,Vehicles/Vehicles,86222.77276026203,58398.15005165476,0.4754222041914019,0.0
art-styling.kz,Worldwide,OpenGraph Type Entity,2024-05,Vehicles/Vehicles,778.1331619208358,465.1823898845439,0.8232579263359727,0.673
autohispania.com,Worldwide,reCAPTCHA,2024-05,Vehicles/Vehicles,52769.3389858126,36087.10308287773,0.6677510951091554,0.042
autoradiok.hu,Worldwide,Apache,2024-05,Vehicles/Vehicles,34624.35113254006,13905.844774277635,0.1966823791512425,1.0
carsale.uol.com.br,Worldwide,Twemoji,2024-05,Vehicles/Vehicles,94025.47978030896,58398.04358786769,0.8073368126648074,0.017
chaparralboats.com,Worldwide,Modernizr,2024-05,Vehicles/Vehicles,25762.0003429035,15827.87771395908,0.2811900891388911,1.0
diersford.com,Worldwide,Open Graph Protocol,2024-05,Vehicles/Vehicles,8937.794892974307,4976.726283629713,0.543483124313958,1.0
evo-forum.de,Worldwide,Favicon Tag,2024-05,Vehicles/Vehicles,13261.431044750168,5240.139951816856,0.5190194457953468,0.906
fq101.co.uk,Worldwide,Spin JS,2024-05,Vehicles/Vehicles,17300.944860816468,6073.027988420854,0.2700469171778968,1.0
imperialmotorsjaguaroflakebluff.com,Worldwide,MediaMind,2024-05,Vehicles/Vehicles,7326.056032443587,3936.045088907848,0.8650560115087069,0.82
