site_rule,country,date,ticker_tracker__calibrated_users,ticker_tracker__calibrated_visits,ticker_tracker__oss_keyword
finance.yahoo.com - Total Visits,US,2024-06-25,826.4716035006628,1312.3120535059784,NVDA
robinhood.com - Total Visits,US,2024-06-25,496.6972198378368,845.4709507075746,NVDA
finance.yahoo.com - Total Visits,US,2024-06-25,234.7776476282671,283.6331118746117,RIVN
robinhood.com - Total Visits,US,2024-06-25,168.27993240407582,230.7063589410717,RIVN
finance.yahoo.com - Total Visits,US,2024-06-25,164.20864371688046,234.7776476282671,AAPL
finance.yahoo.com - Total Visits,US,2024-06-25,161.4944512587502,245.63441746078811,TSLA
robinhood.com - Total Visits,US,2024-06-25,160.13735502968507,215.77830042135528,TSLA
robinhood.com - Total Visits,US,2024-06-25,156.06606634248968,215.77830042135528,SPY
finance.yahoo.com - Total Visits,US,2024-06-25,143.85220028090353,236.13474385733224,GME
finance.yahoo.com - Total Visits,CA,2024-06-25,140.08653082481382,199.0014269660907,NVDA
