domain,country,yearmonth,desktop_ppc_spend_usd,deduplicated_audience,desktop_new_visitors,desktop_returning_visitors,mobile_ppc_spend_usd,desktop_visits,desktop_pages_per_visit,desktop_bounce_rate,mobile_visits,mobile_pages_per_visit,mobile_bounce_rate,mobile_average_visit_duration,all_traffic_visits,all_traffic_pages_per_visit,all_traffic_average_visit_duration,all_traffic_bounce_rate,category,desktop_unique_visitors,mobile_unique_visitors,desktop_average_visit_duration,desktop_share,mobile_share,desktop_page_views,mobile_page_views,all_page_views,global_rank,country_rank,category_rank_new,referrals_channel_desktop_share,referrals_channel_desktop_visits,direct_channel_desktop_share,direct_channel_desktop_visits,display_ads_channel_desktop_share,display_ads_channel_desktop_visits,mail_channel_desktop_share,mail_channel_desktop_visits,social_channel_desktop_share,social_channel_desktop_visits,organic_search_channel_desktop_share,organic_search_channel_desktop_visits,paid_search_channel_desktop_share,paid_search_channel_desktop_visits,social_channel_mobile_visits,social_channel_mobile_share,mail_channel_mobile_visits,mail_channel_mobile_share,display_ads_channel_mobile_visits,display_ads_channel_mobile_share,direct_channel_mobile_visits,direct_channel_mobile_share,referrals_channel_mobile_visits,referrals_channel_mobile_share,paid_search_channel_mobile_visits,paid_search_channel_mobile_share,organic_search_channel_mobile_visits,organic_search_channel_mobile_share
google.com,WW,2024-09,85965214.13622743,2474570461.426,6169845.835723272,727715565.2877729,1018119057.813848,32316961207.750504,11.419550462300178,0.2383047282333701,49636835579.59145,6.115951958660014,0.3122401259289839,408.1817955013874,81953796787.34195,8.207327756029974,653.6227479279224,0.2830850718268681,Computers_Electronics_and_Technology/Search_Engines,733885411.1234964,2414932893.231637,1030.6047333867668,0.3943314705920003,0.6056685294079998,369045169300.1042,303576501784.68744,672621671084.7916,1.0,1.0,1.0,0.0501055853143231,1619260256.8946164,0.8786477097293328,28395223950.60168,0.0028668053564793,92646437.49551432,0.0006654744731606685,21506112.733881533,0.0102971370719987,332772179.30667347,0.0541747971133126,1750764816.7486804,0.003242490941392,104787453.96945028,2214244671.916273,0.0446089007500445,2870039.8578179213,5.782076605620603e-05,10269655.914167976,0.000206895862603909,36700004272.1419,0.7393703455026729,1584195195.662955,0.0319157169703684,1549253613.105852,0.0312117723665454,7575998130.992492,0.1526285477817086
amazon.com,WW,2024-09,55995073.825248845,371112531.7455831,16503431.670544364,140833848.97995797,43036310.09563501,1301701324.7502456,11.814835556069664,0.2442417808564572,1251816121.6193132,5.6268732178235545,0.4351628409181398,162.71216035041942,2553517446.369559,8.78129802296892,365.3078386161132,0.3378374057000066,E-commerce_and_Shopping/Marketplace,157337280.65050232,340660206.03671426,560.1394266319394,0.5097679385746622,0.4902320614253377,15379387095.042189,7043810608.379467,22423197703.421654,7.0,7.0,1.0,0.0816107892784895,106232872.5177232,0.6115611976086812,796070021.0930684,0.002002913143654,2607194.6924541947,0.0010953384052078,1425803.4531088478,0.019078687437129,24834752.711406738,0.2218503123170828,288782845.439403,0.0628007618097541,81747834.8430818,119249703.9585821,0.09526135819718,248394.0401153625,0.00019842693813053563,855414.5645064735,0.0006833388304665177,689796726.1601052,0.5510367810791605,53018631.05661453,0.0423533697489302,57767564.89673099,0.0461470050585421,330879686.9426583,0.26431972014759
amazon.com,US,2024-09,54169611.55276188,260040751.678416,3068328.627566601,102004135.86527556,41926170.107495695,1097223032.02027,12.148438505069642,0.2168499389849136,1089335783.9040253,5.95865308078091,0.3369951084802969,175.7685743404783,2186558815.9242954,9.06470953868691,365.5472224161131,0.2767058328403052,E-commerce_and_Shopping/Marketplace,105072464.49284224,252978422.5199068,553.9616708341979,0.5018035755678748,0.4981964244321251,13329546530.84431,6490974024.764608,19820520555.60892,7.0,4.0,1.0,0.0818446762812136,89801863.86399077,0.6170258907774786,677015018.7138735,0.0019925077085173,2186225.349263133,0.0011481582827779,1259785.7122687986,0.0196499703839763,21560400.08381503,0.2088315478800898,229134784.1464785,0.0695072486859461,76264954.15058076,100363851.12951368,0.0921330710075674,220885.5202025484,0.00020277082922120292,724955.9448470837,0.0006655027362168753,619191226.6915123,0.5684117200964597,43979241.512829445,0.0403725299055302,63681136.72869159,0.058458684337411,261174486.3764285,0.2397557210875935
google.com,US,2024-09,34300756.128129035,264394676.65672252,340979.23122318764,154356690.04637414,64182200.56185873,8025273346.337595,12.24384240926262,0.2214539986996428,8097133639.93574,5.662190958041071,0.3169056176562705,409.6936591635525,16122406986.273336,8.938348917044536,731.5527561281466,0.2693925301793453,Computers_Electronics_and_Technology/Search_Engines,154697669.2775974,244773076.0618798,1056.293859500119,0.4977714154698077,0.5022285845301924,98260182143.8132,45847516882.09434,144107699025.90753,1.0,1.0,1.0,0.060673343342831,486920165.162412,0.8642177852562583,6935583957.44796,0.0021993029458383,17650007.311758213,0.00010560059217196536,847473.6177151406,0.0182825796641912,146722699.2813281,0.0538589799111158,432233035.94161016,0.000662408287592848,5316007.574812015,405727131.2192579,0.0501075009084915,670493.870731748,8.280632388538282e-05,502777.410280525,6.209325826126725e-05,6234547641.311402,0.7699697100912464,256324336.9596325,0.0316561820957751,33395953.204598308,0.0041244166997425,1165965305.9598384,0.1439972906225975
temu.com,WW,2024-09,29629251.16351778,205575443.88323617,18882138.660634425,39863910.21383884,75913642.36490181,226338947.57402536,13.105207917810626,0.2214217970014534,408845098.63130414,3.2739315353772174,0.5615171031456445,140.3693200621667,635184046.2053295,6.777169318194626,303.5929724078705,0.4403288993054954,E-commerce_and_Shopping/Marketplace,58746048.87447325,186027441.12591124,598.4303875213941,0.3563360083210576,0.6436639916789423,2966218967.8560414,1338530861.4934354,4304749829.349477,40.0,40.0,2.0,0.0467814670029552,10588468.007417884,0.6119229257610069,138501991.0131647,0.0346083066836985,7833207.712107423,0.0040752411893765,922385.8019138136,0.0320161120915542,7246493.116214421,0.1100382878438132,24905950.263416357,0.1605576594275959,36340451.65979084,62830606.146508045,0.15367826679798,99051.87437651346,0.0002422723782383857,3963247.8809656017,0.0096937639566511,190233749.46654943,0.4652954140905621,8881527.899732297,0.021723454505056,124751950.79382835,0.3051325580555129,18084964.569344018,0.0442342702159993
macys.com,WW,2024-09,26944432.844587594,20240517.63502125,2942430.008189314,4789614.767830752,79238529.08237387,19915380.78475988,7.897100747943029,0.2773792972944818,40346755.71471791,3.621341975859186,0.5362742779248271,231.2294991017509,60262136.49947779,5.034391181151882,302.3459183035692,0.4507148799011437,Lifestyle/Fashion_and_Apparel,7732044.776020066,16994858.414416853,446.4213353820599,0.3304791688713602,0.6695208311286398,157273768.49089748,146109400.05944446,303383168.550342,652.0,652.0,10.0,0.0474732220166598,945447.2935412268,0.7152753029148796,14244980.023484295,0.0262029383443422,521841.4948071607,0.0014996594750582,29866.289493258733,0.0136625340305064,272094.5677022769,0.1186184247087113,2362331.096162357,0.0772679185098422,1538820.0195693043,5072381.660514745,0.1257196909803683,8514.644318310586,0.00021103665381463536,643878.2787646468,0.0159586134587215,21742061.35475233,0.5388800405287888,1429171.3217348484,0.035422211685127,3254307.591348692,0.0806584701471193,8196440.863284344,0.2031499365460604
macys.com,US,2024-09,26920073.05742972,19333315.285709117,2745645.164356044,4704960.300559227,79150932.15523864,19347406.586592488,7.915593909880475,0.2717224110011501,38932707.93189725,3.64573655415275,0.5324271352297875,251.7508419740877,58280114.51848974,5.063212600837734,317.02840519597294,0.4458802857534246,Lifestyle/Fashion_and_Apparel,7450605.46491527,16232877.047453616,448.3861813428181,0.3319726933696124,0.6680273066303877,153146213.74881288,141938396.45947054,295084610.2082834,652.0,127.0,3.0,0.047219758930337,913579.8749461132,0.7216197418405078,13961470.546300212,0.0264051371202124,510870.9238394759,0.0014463281470942,27982.698719466174,0.0132580818875551,256509.50083686653,0.1132090702615918,2190301.911641133,0.0768418818127016,1486691.130309225,4854988.997950267,0.1247020630171119,8251.993945730785,0.0002119553040123878,625521.3298919058,0.0160667306005555,21143792.36183165,0.5430855824058597,1374584.0984916284,0.0353066655650079,3102632.2351718326,0.0796921765780867,7822936.914614233,0.2009348265293656
booking.com,WW,2024-09,16733184.494080564,165870632.2172844,21767697.67660404,41136070.9592609,52806789.3716272,200631798.21298268,11.145698686383389,0.2575163378898294,305240590.11286664,5.071964388964694,0.396632474935717,380.95019268672286,505872388.3258493,7.480841137489756,495.6856937690896,0.3414582425006752,Travel_and_Tourism/Accommodation_and_Hotels,62903768.635864966,140950246.9137406,670.2439261590476,0.3966055527896277,0.6033944472103723,2236181569.789178,1548169403.119028,3784350972.908206,48.0,48.0,1.0,0.1086268913537868,21794008.546596564,0.5133476360907248,102993859.337266,0.0046761169101982,938177.744347217,0.0020647278773035,414250.0668438843,0.0023564683557533,472782.48364678834,0.1915535788028746,38431738.96935304,0.1773745806093584,35586981.06492924,9850278.445822548,0.0322705392561988,51477.11907495259,0.00016864440949979252,370132.969107873,0.0012125941997786,151777485.95014903,0.4972388694898912,24508573.38954852,0.0802926418812326,73309369.35809854,0.2401691378299048,45373272.88106513,0.1486475729334941
gemini.google.com,WW,2024-09,15036276.609482864,42298497.56486008,10317751.535705231,20332417.48465473,5771977.209703603,165083988.31827638,2.8152521666399597,0.3431255756248087,109644144.85815649,4.446316597884888,0.4436656063252081,411.62476321998537,274728133.17643285,3.4662108533411686,299.01678465391853,0.3832511556398654,,30650169.02035997,25678221.1449446,224.22573047683028,0.6008994652624745,0.3991005347375255,464753055.79059327,487512581.14371616,952265636.9343096,,,,0.0444970585586561,7345751.895294853,0.718257565605188,118572823.56988046,0.0036850961560321,608350.3707741299,0.0008682470001481686,143333.67762983873,0.0102194604239695,1687069.285249679,0.1870186821473249,30873789.938908424,0.0354538901086809,5852869.580538942,3690300.8771968503,0.033657071993866,3872.6404963038335,3.532008481906405e-05,51199.68188634982,0.0004669622983752154,79684284.50441825,0.726753668492773,3631447.007587764,0.0331203003341917,3911636.180806865,0.0356757416081564,18671403.9657641,0.1702909351878184
ads.google.com,WW,2024-09,13537936.192997584,9521034.059434565,2159034.687152944,2930436.231089324,3391188.287279753,52827996.8854179,11.822180869181947,0.1895058757215957,13728258.418312613,2.360948959307172,0.4755912095771385,95.32647204582564,66556255.30373051,9.870655260933582,685.3118385537449,0.2485154064551855,,5089470.918242271,6623975.780432156,838.6296255599617,0.7937345129219863,0.2062654870780137,624542134.1359911,32411717.425815083,656953851.5618062,,,,0.0587309519384586,3102638.5460825227,0.8086966283415574,42721822.96327575,0.0113561455838192,599922.4235323562,0.000953926444509274,50394.0232394537,0.0105165058283128,555565.9371435888,0.0680128744669606,3592983.920508916,0.0417329673963818,2204669.071635307,898985.3007492325,0.0654842932989988,1350.8929313680385,9.840235303015816e-05,35534.753588311265,0.002588438569958,8241740.971162682,0.6003486181589306,333009.5804920097,0.0242572342641653,1845165.149795227,0.1344063532001914,2372471.7695937813,0.1728166601547256
