domain,country,referrer_name,channel,yearmonth,desktop_traffic_source_share
myvoo.app,EG,Youtube,social,2024-05,0.1515
myvoo.app,MA,Youtube,social,2024-05,1.0
myvoo.app,WW,Youtube,social,2024-05,0.2881
myvostfrdizilerclub.net,TN,Facebook Urls,social,2024-05,1.0
myvostfrdizilerclub.net,WW,Facebook Urls,social,2024-05,0.2019
myvote.wi.gov,US,Youtube,social,2024-05,0.0048
myvote.wi.gov,US-WI,Youtube,social,2024-05,0.0072
myvote.wi.gov,WW,Youtube,social,2024-05,0.0043
myvotecounts.org.za,WW,Facebook Urls,social,2024-05,0.0378
myvotecounts.org.za,ZA,Facebook Urls,social,2024-05,0.0416
