user_country,type,destination_country,destination_region,destination_city,yearmonth,bookings
US,Suppliers,United States of America,,,2024-05,9186122.94561493
US,OTAs,United States of America,,,2024-05,5606600.309815177
US,Vacation Rentals,United States of America,,,2024-05,3021991.621533734
JP,OTAs,Japan,,,2024-05,2346271.190302846
US,OTAs,United States of America,California,,2024-05,1009356.6727465768
US,Suppliers,United States of America,California,,2024-05,934833.5201024362
IN,OTAs,India,,,2024-05,913872.0966945246
GB,OTAs,United Kingdom,,,2024-05,813373.7322182002
US,OTAs,United Kingdom,,,2024-05,785135.162894999
DE,OTAs,Germany,,,2024-05,655242.905520513
