app,country,domain,yearmonth,app_web_affinity,app_web_cross_usage
br.com.inchurch.batistadopovo,BR,batistadopovo.org.br,2024-05,29501.2,1.0
com.brd.earnrewards,BR,earnapp.com,2024-05,29199.9,1.0
br.com.woli.universidademundialmix,BR,grupomundialmix.com.br,2024-05,26545.36363636364,1.0
br.com.app.gpu1403323.gpu835d7ec7b4d48c4130fb98cadd97a9db,BR,sescrr.com.br,2024-05,26545.36363636364,1.0
br.com.imetas.imetas,BR,desafioreset.com.br,2024-05,25955.466666666664,0.8888888888888888
com.app999mega.app,BR,999mega.com,2024-05,25028.485714285714,0.8571428571428571
br.com.ssfibertelecom,BR,ssfibertelecom.com.br,2024-05,24333.25,1.0
com.br.yahlikerv3,BR,yahliker.com,2024-05,24333.25,0.8333333333333334
com.intellisys.grupormc,BR,gruporcarvalho.com.br,2024-05,24333.25,1.0
de.bmw.connected.mobile20.row,BR,bmwgroup.com,2024-05,24333.25,1.0
