domain,yearmonth,main_category,sub_category,online_revenue,ecommerce_type,first_level_domain,description
0.phatking.com,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
00231.usedcars.volkswagen.co.uk,2024-05,Vehicles,Vehicle Dealers,,,,
0107349174.lovefollowers.store,2024-05,Vehicles,Motor Vehicles,,,,
010811.blackhawkfossils.com,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
0111181203.partynight.info,2024-05,Vehicles,Vehicle Dealers,,,,
0114303767.privateworld.info,2024-05,Vehicles,Motor Vehicles,,,,
01347633625.chatsright.info,2024-05,Vehicles,Motor Vehicles,,,,
0148902115.phonecontact.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
01620083871.fashionphoto.live,2024-05,Vehicles,Vehicle Dealers,,,,
0170528947.calabrodentalit.store,2024-05,Vehicles,Motor Vehicles,,,,
