domain,country,keyword,date,paid_mobile_site_clicks,paid_desktop_site_clicks,organic_desktop_site_clicks,organic_mobile_site_clicks
amazon.com,WW,amazon,2024-10-06,644990.8780567381,261418.26228886595,770029.3781945055,1143048.5753215323
amazon.com,US,amazon,2024-10-06,603078.094246618,226258.33555013925,643042.2256692667,861670.6842832091
amazon.in,WW,amazon,2024-10-06,366225.43851559015,141851.204842237,108358.7165561108,114943.3352354839
amazon.in,IN,amazon,2024-10-06,366225.4385155901,141276.59137931676,107610.95189370406,111476.50297276412
temu.com,WW,temu,2024-10-06,356224.69905357016,289543.2552919881,253691.6388466764,400788.1816228439
walmart.com,WW,walmart,2024-10-06,223812.40955217977,102242.56519750312,161084.06173736422,297743.64550675644
walmart.com,US,walmart,2024-10-06,222455.01013496728,101776.44539168588,149788.97724546277,277358.987930298
shein.com,WW,shein,2024-10-06,220901.45510037136,238043.39259716065,142136.87538385263,228123.1629951512
flipkart.com,WW,flipkart,2024-10-06,179332.14123167933,21859.835702620825,215946.4240462152,1040761.3648146515
flipkart.com,IN,flipkart,2024-10-06,179320.70087660637,21796.772560000103,204134.52583404756,1015544.2860286935
