domain,country,keyword,yearmonth,paid_mobile_site_clicks,paid_desktop_site_clicks,organic_desktop_site_clicks,organic_mobile_site_clicks
amazon.com,WW,amazon,2024-09,18424971.764275853,8239701.258250643,23337285.805857874,26194489.722670674
amazon.com,US,amazon,2024-09,17181157.846950866,7178531.374596472,19241846.099605728,15460799.949312177
amazon.in,WW,amazon,2024-09,11981692.835359143,3349852.634837233,2862236.2251722068,4298068.914463353
amazon.in,IN,amazon,2024-09,11976432.988524992,3332311.02098147,2834389.6607855414,4267549.367506122
temu.com,WW,temu,2024-09,10358278.841768654,8411766.815656122,7084938.521665481,9624948.358906062
walmart.com,WW,walmart,2024-09,6960272.758632159,3255164.236409568,4854423.381897123,7007216.540752402
walmart.com,US,walmart,2024-09,6888841.572855883,3234821.860484491,4506685.582172167,6194057.455046154
shein.com,WW,shein,2024-09,5800549.151692723,6402509.063485391,3726965.675187925,8210667.45253073
aliexpress.com,WW,aliexpress,2024-09,5349262.313775199,6489524.355694745,7843017.200681206,5050725.796202209
amazon.it,WW,amazon,2024-09,4002577.875385708,2185007.873842887,3075313.537683624,2916426.7759998497
