country,keyword,video,date,clicks
AR,tn en vivo,cb12KmMMDJA,2024-06-24,21998.868619557597
US,not like us,T6eK-2OQtew,2024-06-24,20817.22211720593
US,nosferatu 2024 trailer,b59rxDB_JRg,2024-06-24,19174.000196237965
US,dr disrespect,E73nGJocgAA,2024-06-24,15621.746686146374
US,nosferatu,b59rxDB_JRg,2024-06-24,15330.886792283556
DE,deutschland schweiz,TPp8RxGgreQ,2024-06-24,15197.954425298209
US,yungeen ace,j2IEAq3Y6cU,2024-06-24,12545.502010443844
KE,citizen tv live,q-TFYJ0p_0c,2024-06-24,12353.477654098384
AR,c5n en vivo,Hy4UCfsE6Yk,2024-06-24,12175.564809560818
GB,sidemen,tbgU4cjunY4,2024-06-24,10538.844719291155
