app,country,date,apps_sessions_per_user,apps_avg_usage_time_per_session,apps_avg_total_usage_time_per_user,apps_install_penetration,apps_unique_installs,apps_downloads,apps_daily_active_users_ios,apps_daily_active_users_android
com.view.ytrabbit,WW,2024-06-28,244.30705882352945,30360.587692159454,7417305.883225324,1.6136610357803066e-05,38.81035563447427,78.58552584085302,,930.0736415920986
com.view.ytrabbit,IN,2024-06-28,244.30705882352945,30360.587692159454,7417305.883225323,7.529873294467929e-06,12.614767418777634,54.80781137466529,,396.5193202200828
com.linkarise.latelecall,IN,2024-06-28,124.74909090909092,45371.306965340205,5660029.297283495,5.508740980506024e-07,0.9585395705465362,0.2075176448620671,,205.5945501479336
com.linkarise.latelecall,WW,2024-06-28,124.74909090909092,45371.306965340205,5660029.297283495,1.6634820446424584e-07,0.9585395705465362,0.2075176448620671,,205.5945501479336
com.google.android.apps.nexuslauncher,HN,2024-06-28,119.75,68043.63048016702,8148224.750000001,0.0367467778217116,,,,
in.tractorjunction.crms,IN,2024-06-28,114.6,55617.14513210279,6373724.832138979,1.2077875081630684e-06,,0.1037588224310335,,141.20857498572644
in.tractorjunction.crms,WW,2024-06-28,114.6,55617.14513210279,6373724.832138979,3.64717244953522e-07,,0.1037588224310335,,141.20857498572644
com.thebasics.slickcrm,WW,2024-06-28,112.01333333333332,76193.62388308541,8534701.789890673,5.435250401866325e-08,,0.0,,93.48185546391764
com.thebasics.slickcrm,IN,2024-06-28,112.01333333333332,76193.62388308541,8534701.789890673,1.799922441273379e-07,,0.0,,93.48185546391764
io.pro.dialer,WW,2024-06-28,110.3939393939394,100402.14109250618,11083787.87878788,8.42594032595101e-07,,0.2075176448620671,,2040.355123189826
