app,country,yearmonth,apps_demographics_age_18_to_24_percentage,apps_demographics_age_25_to_34_percentage,apps_demographics_age_35_to_44_percentage,apps_demographics_age_45_to_54_percentage,apps_demographics_age_55_plus_percentage,apps_demographics_male_percentage,apps_demographics_female_percentage,apps_sessions_per_user,apps_avg_usage_time_per_session,apps_avg_total_usage_time_per_user,apps_install_penetration,apps_unique_installs,apps_downloads,apps_daily_active_users_ios,apps_monthly_active_users_android,apps_monthly_active_users_ios,apps_daily_active_users_android
BT_Note20_Gray.sidia,GB,2024-05,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,0.00012054671776771296,,0.0,,,,
Best.robert.phoneSoft.sfRacing,MG,2024-05,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,
BiltuPeacefulEveningrro.com.wallpaperpack,US,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,6.456609266703719e-05,,0.0,,,,
Black.List,WW,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,2.1581935095296887e-06,,0.0,,,,
CMF.Green.Beyond.home,JP,2024-05,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,0.0001643524752481296,,0.0,,,,
CheilPengTai.n20220101B7933.appicon,WW,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,1.6722520229956232e-06,,0.0,,,,
Com.sktelecom.minit,GN,2024-05,100.0,0.0,0.0,0.0,0.0,31.428571428571427,68.57142857142857,,,,0.1326286427720809,,,,,,
DZ.XKZLMD.appsedge,RO,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,0.00023191094619666049,,0.0,,,,
DZ.XKZLMD.peoplestripe,WW,2024-05,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,1.6963789735788829e-06,,0.0,,,,
DavidConcept.FREE_Colorful_Cube_Zflip,WW,2024-05,100.0,0.0,0.0,0.0,0.0,93.93939393939394,6.0606060606060606,,,,4.141364408006426e-06,,0.0,,,,
