app,country,date,apps_weekly_active_users_android,apps_weekly_active_users_ios
com.google.android.youtube,WW,2024-06-17,1.4583607603919756E9,
com.android.chrome,WW,2024-06-17,1.4110045324272475E9,
com.whatsapp,WW,2024-06-17,1.3735830667279847E9,
com.android.settings,WW,2024-06-17,1.34825184406894E9,
com.google.android.googlequicksearchbox,WW,2024-06-17,1.2967818676417427E9,
com.android.vending,WW,2024-06-17,1.2756052450477817E9,
android,WW,2024-06-17,9.798174359943686E8,
com.facebook.katana,WW,2024-06-17,9.750928955856411E8,
com.android.systemui,WW,2024-06-17,9.295074308523235E8,
com.instagram.android,WW,2024-06-17,8.441066128687917E8,
