domain,country,age,gender,yearmonth,demographics_share,demographics_avg_visit_duration,demographics_bounce_rate,demographics_pages_per_visit
rinuploads.org,IN,18-24,male,2024-05,0.7571805715285929,253.1884219301697,0.7043368180105671,1.800553955183719
privatebin.rinuploads.org,IN,18-24,male,2024-05,0.7571805715285925,253.18842193016977,0.7043368180105671,1.800553955183719
otomi-games.com,IN,18-24,male,2024-05,0.7498088432026143,335.2293542754511,0.1557262458529566,11.366688536970385
sonic3air.boards.net,WW,18-24,male,2024-05,0.7402638095538521,226.0815931164166,0.1618460278068143,7.318402133236288
sonic3air.boards.net,US,18-24,male,2024-05,0.740263809553852,226.0815931164166,0.1618460278068143,7.318402133236288
srb2.org,CA,18-24,male,2024-05,0.7239944978490755,579.4677716689104,0.3283862025784584,9.249906236264197
mmda.booru.org,US,18-24,male,2024-05,0.7211412048832044,73.61697565133296,0.5194292438121575,4.792233727079581
eragames.rip,US,18-24,male,2024-05,0.719588476048589,215.85196389203057,0.589602520807592,4.285307862768184
wiki.eragames.rip,WW,18-24,male,2024-05,0.7195884760485889,215.85196389203057,0.5896025208075919,4.285307862768184
eragames.rip,WW,18-24,male,2024-05,0.7195884760485889,215.85196389203057,0.589602520807592,4.285307862768184
