domain,country,channel,date,desktop_marketing_channels_visits,desktop_marketing_channels_share
google.com,WW,direct,2024-06-28,1048475945.9500552,0.951008934079631
youtube.com,WW,direct,2024-06-28,678202799.0316062,0.8469896437731088
mail.google.com,WW,direct,2024-06-28,323336578.990136,0.9375331687962578
google.com,US,direct,2024-06-28,285121859.89233303,0.9599677942630744
facebook.com,WW,direct,2024-06-28,172414338.97395602,0.8298862886169148
youtube.com,US,direct,2024-06-28,143258966.55405438,0.8347788583794198
mail.google.com,US,direct,2024-06-28,108159794.2031972,0.9448958794008488
docs.google.com,WW,direct,2024-06-28,105214298.48909564,0.8840402936453058
youtube.com,WW,organic_search,2024-06-28,95013051.88246568,0.1186593023246652
yahoo.com,WW,direct,2024-06-28,62357652.23517937,0.8592742625290154
