domain,category_id,shopper_category,yearmonth,category_sales_performance_product_views,category_sales_performance_units_sold,category_sales_performance_revenue,category_sales_performance_cvr,category_sales_performance_units_sold_1P,category_sales_performance_units_sold_3P,category_sales_performance_revenue_1P,category_sales_performance_revenue_3P
amazon.com,-1,All Categories,2024-05,12254917022,1468477961,43369724103,0.109,504128484.0113,964349476.9887,13162711265.2605,30207012837.739506
amazon.com,7141123011,"Clothing, Shoes & Jewelry",2024-05,2721138152,220953821,6017769728,0.077,42003321.3721,178950499.6279,1115694507.5712,4902075220.4288
amazon.com,1055398,Home & Kitchen,2024-05,2570174279,171940680,6293207023,0.06,26427282.516,145513397.484,1443032370.3739,4850174652.6261
amazon.com,7147440011,"Clothing, Shoes & Jewelry > Women",2024-05,1601369144,123617103,3440983352,0.075,14463201.051,109153901.949,416703083.9272,3024280268.0728
amazon.de,-1,All Categories,2024-05,1461617010,99653032,3508151149,0.062,35227346.812,64425685.18800001,1606733226.242,1901417922.758
amazon.com,1040660,"Clothing, Shoes & Jewelry > Women > Clothing",2024-05,1041643950,80504108,2116119518,0.075,9668543.3708,70835564.6292,206110041.0532,1910009476.9468
amazon.co.uk,-1,All Categories,2024-05,959398507,85410358,1903651484,0.081,29423868.331,55986489.669,737664950.0500001,1165986533.95
amazon.ca,-1,All Categories,2024-05,936960668,70667573,3440097667,0.069,25616995.2125,45050577.7875,1201626115.0831,2238471551.9169
amazon.com,3760911,Beauty & Personal Care,2024-05,819349456,141313049,2457769655,0.16,56044755.2334,85268293.7666,832938136.0795,1624831518.9205
amazon.com,284507,Home & Kitchen > Kitchen & Dining,2024-05,756841382,65709020,1767256574,0.08,12281015.838,53428004.16199999,472210956.5728,1295045617.4272
