domain,keyword,parent_asin,yearmonth,shopper_keyword_product_brand,shopper_keyword_product_leaf_category_id,shopper_keyword_product_search_volume,shopper_keyword_product_organic_clicks,shopper_keyword_product_paid_clicks,shopper_keyword_product_keyword_organic_clicks,shopper_keyword_product_keyword_paid_clicks,shopper_keyword_product_parent_asin_organic_clicks,shopper_keyword_product_parent_asin_paid_clicks,shopper_keyword_product_branded,shopper_keyword_product_avg_organic_ranking,shopper_keyword_product_keyword_product_features,shopper_keyword_product_keyword_features,shopper_keyword_product_total_clicks
amazon.com,smart scale food,B0BCL3QBCJ,2024-05,Ｎｏｏｎｈｏｒｓｅ,678508011,5820,2,0,4536,1245,13,0,,87.0,,37128.0,2
amazon.com,sweet 16 tiara,B0CRF1B78V,2024-05,Ｎｏｏｎｈｏｒｓｅ,2474978011,1638,1,0,711,497,1,0,,77.0,,264.0,1
amazon.com,usb led light strip,B0CWXJBRMJ,2024-05,Ｎｏｏｎｈｏｒｓｅ,17534489011,4316,1,0,2217,1265,18,0,,96.0,,37128.0,1
amazon.com,led lights,B0CWXJBRMJ,2024-05,Ｎｏｏｎｈｏｒｓｅ,17534489011,366594,11,0,121834,73285,18,0,,,,37128.0,11
amazon.com,birthday girl pin,B0B42V3X8Y,2024-05,Ｎｏｏｎｈｏｒｓｅ,2474978011,2536,8,0,1514,344,63,0,,26.0,,4360.0,8
amazon.com,birthday headband for women,B0B42V3X8Y,2024-05,Ｎｏｏｎｈｏｒｓｅ,2474978011,2425,1,0,1273,620,63,0,,72.0,,33032.0,1
amazon.com,checkered claw clip,B0C6MZKNXP,2024-05,Ｎｏｏｎｈｏｒｓｅ,3784401,3114,6,0,1918,818,34,0,,27.0,,36872.0,6
amazon.com,queen crowns for women,B0CCMF273S,2024-05,Ｎｏｏｎｈｏｒｓｅ,2474978011,2352,1,0,1167,692,16,0,,80.0,,33032.0,1
amazon.com,happy new year,B0CNRWV8F7,2024-05,Ｎｏｏｎｈｏｒｓｅ,11058051,1120,10,0,649,130,10,0,,13.0,,,10
amazon.com,prom king crown,B0C3BBPMXQ,2024-05,Ｎｏｏｎｈｏｒｓｅ,541966,1443,4,0,741,375,4,0,,42.0,,33032.0,4
