domain,brand,category_id,keyword,yearmonth,brand_onsite_search_top_keywords_brand_clicks,brand_onsite_search_top_keywords_brand_organic_clicks_share,brand_onsite_search_top_keywords_brand_paid_clicks_share,brand_onsite_search_top_keywords_total_clicks,brand_onsite_search_top_keywords_brand_share
amazon.com,Crocs,-1,crocs,2024-05,1195059,0.832,0.168,1382715,0.864
amazon.com,Crocs,7141123011,crocs,2024-05,1194897,0.832,0.168,1335559,0.895
amazon.com,Stanley,-1,stanley cup,2024-05,950772,0.992,0.008,1560962,0.609
amazon.com,Stanley,1055398,stanley cup,2024-05,893497,0.993,0.007,1290290,0.692
amazon.com,Stanley,284507,stanley cup,2024-05,893497,0.993,0.007,1289472,0.693
amazon.com,Stanley,13162311,stanley cup,2024-05,814349,0.993,0.007,1092821,0.745
amazon.com,Owala,-1,owala,2024-05,811971,0.978,0.022,990104,0.82
amazon.com,Stanley,13217501,stanley cup,2024-05,806718,0.997,0.003,1076795,0.749
amazon.com,Stanley,13218451,stanley cup,2024-05,787304,0.997,0.003,1040966,0.756
amazon.com,Crocs,-1,crocs womens,2024-05,754149,0.761,0.239,899949,0.838
