domain,category_id,keyword,yearmonth,category_onsite_search_top_keywords_total_clicks,category_onsite_search_top_keywords_organic_clicks_share,category_onsite_search_top_keywords_paid_clicks_share,category_onsite_search_top_keywords_top_brand,category_onsite_search_top_keywords_top_brand_share
amazon.com,-1,mothers day gifts,2024-05,3598582,0.597,0.403,Nacome,0.047
amazon.com,-1,fallout,2024-05,1816459,0.93,0.07,Fallout,0.087
amazon.com,1055398,mothers day gifts,2024-05,1734940,0.447,0.553,ArtPix 3D,0.081
amazon.com,-1,stanley cup,2024-05,1560962,0.843,0.157,Stanley,0.609
amazon.com,-1,summer dresses for women 2024,2024-05,1537222,0.575,0.425,PRETTYGARDEN,0.079
amazon.com,-1,iphone 15 pro max case,2024-05,1460451,0.649,0.351,Miracase,0.084
amazon.com,-1,shower curtain,2024-05,1419082,0.628,0.372,Dynamene,0.106
amazon.com,-1,crocs,2024-05,1382715,0.747,0.253,Crocs,0.864
amazon.com,-1,wedding guest dresses for women,2024-05,1363544,0.619,0.381,PRETTYGARDEN,0.252
amazon.com,7141123011,crocs,2024-05,1335559,0.749,0.251,Crocs,0.895
