site_1,site_2,yearmonth,site_affinity
bearystationery.com,wildflower.co,2024-05,1495543514749.2734
wildflower.co,cutematter.com,2024-05,1495543514749.2734
wildflower.co,bearystationery.com,2024-05,1495543514749.2734
cutematter.com,wildflower.co,2024-05,1495543514749.2734
resgatadoresdealma.blogspot.com,diarionovaconvertida.blogspot.com,2024-05,1455418748834.393
plastchi.ir,parsam-co.com,2024-05,1410718205000.7622
parsam-co.com,plastchi.ir,2024-05,1410718205000.7622
jaqueline-kropmanns.de,covermanufaktur.de,2024-05,1240327032628.3982
jaqueline-kropmanns.de,annegebhardt.design,2024-05,1240327032628.3982
gandlpositivegoods.com,vistaclubshop.com,2024-05,1195421276312.891
