domain,country,keyword,date,desktop_keywords_total_visits,desktop_keywords_organic_visits,desktop_keywords_paid_visits,desktop_keywords_total_share,desktop_keywords_organic_share,desktop_keywords_paid_share,desktop_keywords_top_all_url_position,desktop_keywords_top_organic_url_position,desktop_keywords_top_paid_url_position,desktop_keywords_top_all_url,desktop_keywords_top_organic_url,desktop_keywords_top_paid_url
youtube.com,WW,youtube,2024-06-22,57689084.31293246,57470986.95787668,218097.3550557535,0.0843988558328006,0.0841684946619484,0.302725932166859,1,1,1.0,https://www.youtube.com/,https://www.youtube.com/,https://www.youtube.com/watch?v=8TMvx7vQ-rU
web.whatsapp.com,WW,whatsapp web,2024-06-22,38910585.776272304,38910558.05527565,27.720996655520945,0.624627742366306,0.6247200676402687,0.0029966701874655,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
whatsapp.com,WW,whatsapp web,2024-06-22,36839781.662100405,36839754.34687596,27.315224450523097,0.5648679418700528,0.5650199545857667,0.0015524713511873,1,1,,https://web.whatsapp.com/,https://web.whatsapp.com/,
facebook.com,WW,facebook,2024-06-22,25952283.03456421,25884663.989163507,67619.04540070285,0.141826119531912,0.1420060690109534,0.0955003855183386,1,1,1.0,https://ru-ru.facebook.com/,https://ru-ru.facebook.com/,https://www.facebook.com/r.php
mail.google.com,WW,gmail,2024-06-22,12184876.697914151,12184765.444661813,111.2532523407066,0.4480787772617053,0.4485437300381004,0.0039123456797404,1,1,,https://mail.google.com/mail/u/0/,https://mail.google.com/mail/u/0/,
netflix.com,WW,netflix,2024-06-22,11821364.13192434,11729208.999994952,92155.13192939007,0.5031388795075252,0.5014432572226746,0.8832954681821336,1,1,1.0,https://www.netflix.com/,https://www.netflix.com/,https://www.netflix.com/ph-en/
youtube.com,US,youtube,2024-06-22,9754904.74092189,9739822.67273061,15082.068191278544,0.0608537593207216,0.0608523287702974,0.0617918554710987,1,1,,https://www.youtube.com/,https://www.youtube.com/,
openai.com,WW,chatgpt,2024-06-22,9650655.193254009,9648715.139531504,1940.0537225030528,0.3618623408674751,0.3618724902470255,0.3175654808618636,1,1,,https://openai.com/chatgpt/,https://openai.com/chatgpt/,
instagram.com,WW,instagram,2024-06-22,9572095.546215467,9492304.558136811,79790.98807865646,0.0877266694822088,0.0871552161409455,0.3987921320787394,1,1,1.0,https://www.instagram.com/,https://www.instagram.com/,https://www.instagram.com/accounts/emailsignup/
youtube.com,WW,yt,2024-06-22,9106680.32943388,9098123.679535162,8556.64989871957,0.013323029987269,0.0133245558305093,0.0118768969763671,1,1,1.0,https://m.youtube.com/?hl=zh-tw,https://m.youtube.com/?hl=zh-tw,https://www.youtube.com/watch?v=bk8kYAEYWec&feature=youtu.be
