domain,tech_id,tech_name,date,technology_parent_category,uninstalled_date,installation_date,technology_category,technology_description
lesmaseca.blogspot.pt,714,whos.amung.us,2024-06-28,Widget,,2014-08-27,Widget,"The whos.amung.us homepage. Here you will find really cool widgets for your 
  website or blog - free! No registration required."
thecrankycrow.blogspot.com,842,WidgetBox,2024-06-28,Widget,2024-06-23,2019-09-13,Widget,"Widgetbox was a San Francisco, California based company that enabled businesses to create and deliver applications to their customers. Widgetbox formally discontinued their service on March 28, 2014."
vufer.nnover.ru,740,VKontakte Widgets,2024-06-28,Widget,,2019-09-07,Widget,"The VK comments widget lets you add comments to your site in a matter of 
  minutes. Installing the ... Read more on the advantages of the VK comment 
  widget. 1."
site.mar.com.br,1952,reCAPTCHA,2024-06-28,Widget,2019-11-25,2018-09-21,Captcha,Anti-bot CAPTCHA widget that helps digitize books by providing snippets of books for people to enter the text for. Owned by Google.
kelmscottmanor.org.uk,3204,Yoast SEO,2024-06-28,Widget,,2020-10-13,Widget,Wordpress SEO Plugin
the-travel-dreamer.com,6334,Google Analytics For WordPress,2024-06-28,Widget,2023-10-08,2023-06-08,Widget,
jean-max.mejean.over-blog.fr,2487,FancyBox,2024-06-28,Widget,,2016-02-05,Popups,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style \lightbox\"" that floats overtop of web page."""
carersqld.com.au,3218,Twemoji,2024-06-28,Widget,2020-12-06,2018-10-23,Widget,A simple library that provides standard Unicode emoji support across all platforms.
36741.ua-tenders.com,740,VKontakte Widgets,2024-06-28,Widget,,2014-06-30,Widget,"The VK comments widget lets you add comments to your site in a matter of 
  minutes. Installing the ... Read more on the advantages of the VK comment 
  widget. 1."
thaopnguyen.com,3218,Twemoji,2024-06-28,Widget,,2024-02-13,Widget,A simple library that provides standard Unicode emoji support across all platforms.
