domain,country,referrer_name,channel,yearmonth,desktop_traffic_source_share
booksreviewsmyviews.wordpress.com,ID,Referrals,referrals,2024-05,1.0
booksreviewsmyviews.wordpress.com,WW,Referrals,referrals,2024-05,1.0
booksrevisit.blogspot.com,IN,Google.com,organic_search,2024-05,1.0
booksrevisit.blogspot.com,WW,Google.com,organic_search,2024-05,1.0
booksreward.xyz,FR,Twitter,social,2024-05,1.0
booksrewards.com,AE,Direct,direct,2024-05,1.0
booksrewards.com,BD,Referrals,referrals,2024-05,1.0
booksrewards.com,BE,Direct,direct,2024-05,1.0
booksrewards.com,BG,Referrals,referrals,2024-05,1.0
booksrewards.com,CN,Direct,direct,2024-05,1.0
