domain,yearmonth,main_category,sub_category,online_revenue,ecommerce_type,first_level_domain,description
01-5-5490445080.news6skyah.pics,2024-05,Vehicles,Motor Vehicles,,,,
0101997233.partynight.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
0113610276.searchcontact.info,2024-05,Vehicles,Motor Vehicles,,,,
0119430407.telefono.click,2024-05,Vehicles,Motor Vehicles,,,,
0143323876.telefono.click,2024-05,Vehicles,Vehicle Dealers,,,,
0158304271.searchcontact.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
0162372226.popularsocial.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
0164035537.peopleworld.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
01880332010.facemessage.online,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
02-1-jamarii3624.sltjj40.info,2024-05,Vehicles,Vehicle Parts & Accessories,,,,
