table,granularity
apps,"['daily', 'monthly', 'weekly']"
apps_affinity,['monthly']
apps_premium,['monthly']
apps_premium_affinity,['monthly']
apps_ranking_history,['daily']
apps_retention,['monthly']
audience_interests,['monthly']
channel_conversion,['monthly']
daily_display_ads,['daily']
demographics,['monthly']
disney_total_visits,['daily']
google_keyword_calibrated,['daily']
keywords_3,"['daily', 'monthly']"
marketing_channels,"['daily', 'monthly']"
oss_keyword_calibrated,['daily']
oss_phrase_conversion,['monthly']
pvp_calibrated,['daily']
redirects,['monthly']
referrals,['monthly']
russel_1000_calibrated_domains,['daily']
russel_1000_calibrated_tickers,['daily']
russel_1000_estimated_tickers,['daily']
russel_1000_tickers_domains,['daily']
serp,['on-demand']
shopper_brand_category,['monthly']
shopper_category,['monthly']
shopper_category_top_brands,['monthly']
shopper_keyword_product,"['monthly', 'weekly']"
shopper_keywords_brand,['monthly']
shopper_keywords_category,['monthly']
shopper_products_brand,['monthly']
shopper_products_category,['monthly']
shopper_s4i_brand_category_firstp_thirdp,['monthly']
shopper_s4i_brand_top_products,['monthly']
shopper_s4i_category_firstp_thirdp,['monthly']
shopper_s4i_category_top_brands,['monthly']
shopper_s4i_category_top_products,['monthly']
similar_sites,['monthly']
site_conversion,['monthly']
site_keywords,"['7days', 'monthly', 'weekly']"
site_keywords_3,"['daily', 'monthly', 'weekly']"
subsidiaries,['monthly']
technographics,['daily']
technologies,['monthly']
ticker_mapping_feed,['monthly']
ticker_mapping_point_in_time,['monthly']
ticker_tracker_calibrated,['daily']
traffic_and_engagement,"['daily', 'monthly', 'weekly']"
traffic_sources,['monthly']
travel_intelligence,['monthly']
videos_calibrated,['daily']
web_app_cross_use,['monthly']
website,['monthly']
youtube_keywords,['daily']
