table,granularity
apps,"['daily', 'monthly', 'weekly']"
apps_ranking_history,['daily']
apps_retention,['monthly']
audience_interests,['monthly']
demographics,['monthly']
marketing_channels,"['daily', 'monthly']"
referrals,['monthly']
shopper_brand_category,['monthly']
shopper_category,['monthly']
shopper_category_top_brands,['monthly']
shopper_keyword_product,"['monthly', 'weekly']"
shopper_keywords_brand,['monthly']
shopper_keywords_category,['monthly']
shopper_products_brand,['monthly']
shopper_products_category,['monthly']
similar_sites,['monthly']
site_keywords,"['7days', 'weekly']"
technographics,['daily']
traffic_and_engagement,"['daily', 'monthly', 'weekly']"
traffic_sources,['monthly']
web_app_cross_use,['monthly']
website,['monthly']
